SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 05",1594691,OH,MORROW COUNTY,2020,May,Not Adj,Ohio,"14,700","16,600","1,900",11.60%
"2020, 05",1594697,OH,MUSKINGUM COUNTY,2020,May,Not Adj,Ohio,"35,100","39,600","4,400",11.20%
"2020, 05",1594703,OH,NOBLE COUNTY,2020,May,Not Adj,Ohio,"4,100","4,600",600,12.10%
"2020, 05",1594709,OH,OTTAWA COUNTY,2020,May,Not Adj,Ohio,"17,300","20,200","2,800",14.10%
"2020, 05",1594715,OH,PAULDING COUNTY,2020,May,Not Adj,Ohio,"7,400","8,600","1,300",14.70%
"2020, 05",1594721,OH,PERRY COUNTY,2020,May,Not Adj,Ohio,"13,700","15,600","1,900",11.90%
"2020, 05",1594727,OH,PICKAWAY COUNTY,2020,May,Not Adj,Ohio,"23,200","25,900","2,800",10.70%
"2020, 05",1594733,OH,PIKE COUNTY,2020,May,Not Adj,Ohio,"9,300","10,800","1,500",13.90%
"2020, 05",1594739,OH,PORTAGE COUNTY,2020,May,Not Adj,Ohio,"73,600","82,900","9,200",11.10%
"2020, 05",1594745,OH,PREBLE COUNTY,2020,May,Not Adj,Ohio,"18,100","20,500","2,400",11.60%
"2020, 05",1594751,OH,PUTNAM COUNTY,2020,May,Not Adj,Ohio,"16,600","18,600","2,000",10.70%
"2020, 05",1594757,OH,RICHLAND COUNTY,2020,May,Not Adj,Ohio,"45,100","53,500","8,400",15.70%
"2020, 05",1594763,OH,ROSS COUNTY,2020,May,Not Adj,Ohio,"30,800","35,500","4,800",13.40%
"2020, 05",1594769,OH,SANDUSKY COUNTY,2020,May,Not Adj,Ohio,"25,700","30,400","4,700",15.50%
"2020, 05",1594775,OH,SCIOTO COUNTY,2020,May,Not Adj,Ohio,"25,500","29,000","3,400",11.80%
"2020, 05",1594781,OH,SENECA COUNTY,2020,May,Not Adj,Ohio,"23,200","27,400","4,100",15.10%
"2020, 05",1594787,OH,SHELBY COUNTY,2020,May,Not Adj,Ohio,"21,300","24,500","3,200",13.20%
"2020, 05",1594793,OH,STARK COUNTY,2020,May,Not Adj,Ohio,"159,500","182,800","23,200",12.70%
