Congressional District 7,County,F9,geogfips,State,WED,WED_Title,F5,F7,Number of Records,Total,Ucfe,UCX,UI
Elmore,Elmore,0,51,Alabama,3/28/20,3/28/20,225,0,1,51,0,0,1149
Escambia,Escambia,0,53,Alabama,3/28/20,3/28/20,97,0,1,53,0,0,287
Etowah,Etowah,0,55,Alabama,3/28/20,3/28/20,592,0,1,55,0,0,1913
Fayette,Fayette,0,57,Alabama,3/28/20,3/28/20,17,0,1,57,0,0,150
Franklin,Franklin,0,59,Alabama,3/28/20,3/28/20,147,0,1,59,0,0,675
Geneva,Geneva,0,61,Alabama,3/28/20,3/28/20,48,0,1,61,0,0,183
"Choctaw, Clarke, Dallas and 11 more",Greene,0,63,Alabama,3/28/20,3/28/20,37,0,1,63,0,0,163
"Choctaw, Clarke, Dallas and 11 more",Hale,0,65,Alabama,3/28/20,3/28/20,80,0,1,65,0,0,409
Henry,Henry,0,67,Alabama,3/28/20,3/28/20,51,0,1,67,0,0,108
Houston,Houston,0,69,Alabama,3/28/20,3/28/20,233,0,1,69,0,0,1337
Jackson,Jackson,0,71,Alabama,3/28/20,3/28/20,216,0,1,71,0,0,796
"Choctaw, Clarke, Dallas and 11 more",Jefferson,0,73,Alabama,3/28/20,3/28/20,2523,0,1,73,0,0,13603
Lamar,Lamar,0,75,Alabama,3/28/20,3/28/20,32,0,1,75,0,0,166
Lauderdale,Lauderdale,0,77,Alabama,3/28/20,3/28/20,269,0,1,77,0,0,1797
Lawrence,Lawrence,0,79,Alabama,3/28/20,3/28/20,82,0,1,79,0,0,422
Lee,Lee,0,81,Alabama,3/28/20,3/28/20,468,0,1,81,0,0,1925
Limestone,Limestone,0,83,Alabama,3/28/20,3/28/20,151,0,1,83,0,0,1191
"Choctaw, Clarke, Dallas and 11 more",Lowndes,0,85,Alabama,3/28/20,3/28/20,76,0,1,85,0,0,123
Macon,Macon,0,87,Alabama,3/28/20,3/28/20,87,0,1,87,0,0,221
Madison,Madison,0,89,Alabama,3/28/20,3/28/20,1056,0,1,89,0,0,6370
"Choctaw, Clarke, Dallas and 11 more",Marengo,0,91,Alabama,3/28/20,3/28/20,47,0,1,91,0,0,158
Marion,Marion,0,93,Alabama,3/28/20,3/28/20,105,0,1,93,0,0,371
Marshall,Marshall,0,95,Alabama,3/28/20,3/28/20,237,0,1,95,0,0,1359
Mobile,Mobile,0,97,Alabama,3/28/20,3/28/20,1936,0,1,97,0,0,7068
Monroe,Monroe,0,99,Alabama,3/28/20,3/28/20,68,0,1,99,0,0,229
"Choctaw, Clarke, Dallas and 11 more",Montgomery,0,101,Alabama,3/28/20,3/28/20,906,0,1,101,0,0,3968
Morgan,Morgan,0,103,Alabama,3/28/20,3/28/20,312,0,1,103,0,0,2428
"Choctaw, Clarke, Dallas and 11 more",Perry,0,105,Alabama,3/28/20,3/28/20,39,0,1,105,0,0,151
"Choctaw, Clarke, Dallas and 11 more",Pickens,0,107,Alabama,3/28/20,3/28/20,88,0,1,107,0,0,257
Pike,Pike,0,109,Alabama,3/28/20,3/28/20,81,0,1,109,0,0,328
Randolph,Randolph,0,111,Alabama,3/28/20,3/28/20,30,0,1,111,0,0,107
Russell,Russell,0,113,Alabama,3/28/20,3/28/20,96,0,1,113,0,0,347
St. Clair,St. Clair,0,115,Alabama,3/28/20,3/28/20,220,0,1,115,0,0,1295
Shelby,Shelby,0,117,Alabama,3/28/20,3/28/20,434,0,1,117,0,0,2439
"Choctaw, Clarke, Dallas and 11 more",Sumter,0,119,Alabama,3/28/20,3/28/20,29,0,1,119,0,0,131
Talladega,Talladega,0,121,Alabama,3/28/20,3/28/20,281,0,1,121,0,0,1209
Tallapoosa,Tallapoosa,0,123,Alabama,3/28/20,3/28/20,150,0,1,123,0,0,394
"Choctaw, Clarke, Dallas and 11 more",Tuscaloosa,0,125,Alabama,3/28/20,3/28/20,616,0,1,125,0,0,5458
Walker,Walker,0,127,Alabama,3/28/20,3/28/20,226,0,1,127,0,0,1099
Washington,Washington,0,129,Alabama,3/28/20,3/28/20,45,0,1,129,0,0,100
"Choctaw, Clarke, Dallas and 11 more",Wilcox,0,131,Alabama,3/28/20,3/28/20,55,0,1,131,0,0,82
Winston,Winston,0,133,Alabama,3/28/20,3/28/20,86,0,1,133,0,0,195
Out of State,Out of State,0,999,Alabama,3/28/20,3/28/20,1029,0,1,,0,0,2615
Total,Total,0,,Alabama,3/28/20,3/28/20,16780,0,1,,0,0,80984
Autauga,Autauga,0,1,Alabama,3/21/20,3/21/20,104,0,1,1,0,0,99
Baldwin,Baldwin,0,3,Alabama,3/21/20,3/21/20,340,0,1,3,0,0,503
Barbour,Barbour,0,5,Alabama,3/21/20,3/21/20,53,0,1,5,0,0,14
Bibb,Bibb,0,7,Alabama,3/21/20,3/21/20,44,0,1,7,0,0,36
Blount,Blount,0,9,Alabama,3/21/20,3/21/20,75,0,1,9,0,0,86
Bullock,Bullock,0,11,Alabama,3/21/20,3/21/20,28,0,1,11,0,0,9
Butler,Butler,0,13,Alabama,3/21/20,3/21/20,88,0,1,13,0,0,20
Calhoun,Calhoun,0,15,Alabama,3/21/20,3/21/20,321,0,1,15,0,0,307
Chambers,Chambers,0,17,Alabama,3/21/20,3/21/20,98,0,1,17,0,0,46
Cherokee,Cherokee,0,19,Alabama,3/21/20,3/21/20,39,0,1,19,0,0,15
Chilton,Chilton,0,21,Alabama,3/21/20,3/21/20,47,0,1,21,0,0,80
"Choctaw, Clarke, Dallas and 11 more",Choctaw,0,23,Alabama,3/21/20,3/21/20,24,0,1,23,0,0,11
"Choctaw, Clarke, Dallas and 11 more",Clarke,0,25,Alabama,3/21/20,3/21/20,78,0,1,25,0,0,31
Clay,Clay,0,27,Alabama,3/21/20,3/21/20,25,0,1,27,0,0,10
Cleburne,Cleburne,0,29,Alabama,3/21/20,3/21/20,17,0,1,29,0,0,10
Coffee,Coffee,0,31,Alabama,3/21/20,3/21/20,67,0,1,31,0,0,61
Colbert,Colbert,0,33,Alabama,3/21/20,3/21/20,154,0,1,33,0,0,98
Conecuh,Conecuh,0,35,Alabama,3/21/20,3/21/20,32,0,1,35,0,0,12
Coosa,Coosa,0,37,Alabama,3/21/20,3/21/20,21,0,1,37,0,0,16
Covington,Covington,0,39,Alabama,3/21/20,3/21/20,80,0,1,39,0,0,30
Crenshaw,Crenshaw,0,41,Alabama,3/21/20,3/21/20,33,0,1,41,0,0,9
Cullman,Cullman,0,43,Alabama,3/21/20,3/21/20,132,0,1,43,0,0,133
Dale,Dale,0,45,Alabama,3/21/20,3/21/20,81,0,1,45,0,0,73
"Choctaw, Clarke, Dallas and 11 more",Dallas,0,47,Alabama,3/21/20,3/21/20,177,0,1,47,0,0,48
DeKalb,DeKalb,0,49,Alabama,3/21/20,3/21/20,109,0,1,49,0,0,74
Elmore,Elmore,0,51,Alabama,3/21/20,3/21/20,177,0,1,51,0,0,146
Escambia,Escambia,0,53,Alabama,3/21/20,3/21/20,97,0,1,53,0,0,23
Etowah,Etowah,0,55,Alabama,3/21/20,3/21/20,521,0,1,55,0,0,180
Fayette,Fayette,0,57,Alabama,3/21/20,3/21/20,15,0,1,57,0,0,13
Franklin,Franklin,0,59,Alabama,3/21/20,3/21/20,76,0,1,59,0,0,26
Geneva,Geneva,0,61,Alabama,3/21/20,3/21/20,40,0,1,61,0,0,30
"Choctaw, Clarke, Dallas and 11 more",Greene,0,63,Alabama,3/21/20,3/21/20,38,0,1,63,0,0,8
"Choctaw, Clarke, Dallas and 11 more",Hale,0,65,Alabama,3/21/20,3/21/20,67,0,1,65,0,0,32
Henry,Henry,0,67,Alabama,3/21/20,3/21/20,35,0,1,67,0,0,19
Houston,Houston,0,69,Alabama,3/21/20,3/21/20,180,0,1,69,0,0,169
Jackson,Jackson,0,71,Alabama,3/21/20,3/21/20,152,0,1,71,0,0,98
"Choctaw, Clarke, Dallas and 11 more",Jefferson,0,73,Alabama,3/21/20,3/21/20,1624,0,1,73,0,0,2371
Lamar,Lamar,0,75,Alabama,3/21/20,3/21/20,29,0,1,75,0,0,13
Lauderdale,Lauderdale,0,77,Alabama,3/21/20,3/21/20,192,0,1,77,0,0,184
Lawrence,Lawrence,0,79,Alabama,3/21/20,3/21/20,67,0,1,79,0,0,30
Lee,Lee,0,81,Alabama,3/21/20,3/21/20,266,0,1,81,0,0,384
Limestone,Limestone,0,83,Alabama,3/21/20,3/21/20,106,0,1,83,0,0,112
"Choctaw, Clarke, Dallas and 11 more",Lowndes,0,85,Alabama,3/21/20,3/21/20,26,0,1,85,0,0,20
Macon,Macon,0,87,Alabama,3/21/20,3/21/20,50,0,1,87,0,0,55
Madison,Madison,0,89,Alabama,3/21/20,3/21/20,712,0,1,89,0,0,1080
"Choctaw, Clarke, Dallas and 11 more",Marengo,0,91,Alabama,3/21/20,3/21/20,44,0,1,91,0,0,13
Marion,Marion,0,93,Alabama,3/21/20,3/21/20,78,0,1,93,0,0,31
Marshall,Marshall,0,95,Alabama,3/21/20,3/21/20,192,0,1,95,0,0,156
Mobile,Mobile,0,97,Alabama,3/21/20,3/21/20,1574,0,1,97,0,0,1024
Monroe,Monroe,0,99,Alabama,3/21/20,3/21/20,75,0,1,99,0,0,24
"Choctaw, Clarke, Dallas and 11 more",Montgomery,0,101,Alabama,3/21/20,3/21/20,629,0,1,101,0,0,523
Morgan,Morgan,0,103,Alabama,3/21/20,3/21/20,197,0,1,103,0,0,231
"Choctaw, Clarke, Dallas and 11 more",Perry,0,105,Alabama,3/21/20,3/21/20,29,0,1,105,0,0,9
"Choctaw, Clarke, Dallas and 11 more",Pickens,0,107,Alabama,3/21/20,3/21/20,80,0,1,107,0,0,31
Pike,Pike,0,109,Alabama,3/21/20,3/21/20,67,0,1,109,0,0,35
Randolph,Randolph,0,111,Alabama,3/21/20,3/21/20,30,0,1,111,0,0,7
Russell,Russell,0,113,Alabama,3/21/20,3/21/20,87,0,1,113,0,0,35
St. Clair,St. Clair,0,115,Alabama,3/21/20,3/21/20,152,0,1,115,0,0,195
Shelby,Shelby,0,117,Alabama,3/21/20,3/21/20,281,0,1,117,0,0,448
"Choctaw, Clarke, Dallas and 11 more",Sumter,0,119,Alabama,3/21/20,3/21/20,29,0,1,119,0,0,7
Talladega,Talladega,0,121,Alabama,3/21/20,3/21/20,225,0,1,121,0,0,143
Tallapoosa,Tallapoosa,0,123,Alabama,3/21/20,3/21/20,113,0,1,123,0,0,52
"Choctaw, Clarke, Dallas and 11 more",Tuscaloosa,0,125,Alabama,3/21/20,3/21/20,306,0,1,125,0,0,576
Walker,Walker,0,127,Alabama,3/21/20,3/21/20,167,0,1,127,0,0,158
Washington,Washington,0,129,Alabama,3/21/20,3/21/20,42,0,1,129,0,0,19
"Choctaw, Clarke, Dallas and 11 more",Wilcox,0,131,Alabama,3/21/20,3/21/20,60,0,1,131,0,0,4
Winston,Winston,0,133,Alabama,3/21/20,3/21/20,67,0,1,133,0,0,26
Out of State,Out of State,0,999,Alabama,3/21/20,3/21/20,193,0,1,,0,0,321
Total,Total,0,,Alabama,3/21/20,3/21/20,11454,0,1,,0,0,10892
Autauga,Autauga,0,,Alabama,3/14/20,3/14/20,110,0,1,1,0,0,21
Baldwin,Baldwin,0,,Alabama,3/14/20,3/14/20,352,0,1,3,0,0,30
Barbour,Barbour,0,,Alabama,3/14/20,3/14/20,51,0,1,5,0,0,3
Bibb,Bibb,0,,Alabama,3/14/20,3/14/20,50,0,1,7,0,0,4
Blount,Blount,0,,Alabama,3/14/20,3/14/20,73,0,1,9,0,0,12
Bullock,Bullock,0,,Alabama,3/14/20,3/14/20,26,0,1,11,0,0,0
Butler,Butler,0,,Alabama,3/14/20,3/14/20,101,0,1,13,0,0,4
Calhoun,Calhoun,0,,Alabama,3/14/20,3/14/20,339,0,1,15,0,0,52
Chambers,Chambers,0,,Alabama,3/14/20,3/14/20,96,0,1,17,0,0,12
Cherokee,Cherokee,0,,Alabama,3/14/20,3/14/20,42,0,1,19,0,0,12
Chilton,Chilton,0,,Alabama,3/14/20,3/14/20,55,0,1,21,0,0,10
"Choctaw, Clarke, Dallas and 11 more",Choctaw,0,,Alabama,3/14/20,3/14/20,24,0,1,23,0,0,1
"Choctaw, Clarke, Dallas and 11 more",Clarke,0,,Alabama,3/14/20,3/14/20,85,0,1,25,0,0,7
Clay,Clay,0,,Alabama,3/14/20,3/14/20,25,0,1,27,0,0,4
Cleburne,Cleburne,0,,Alabama,3/14/20,3/14/20,23,0,1,29,0,0,2
Coffee,Coffee,0,,Alabama,3/14/20,3/14/20,78,0,1,31,0,0,12
Colbert,Colbert,0,,Alabama,3/14/20,3/14/20,167,0,1,33,0,0,17
Conecuh,Conecuh,0,,Alabama,3/14/20,3/14/20,36,0,1,35,0,0,3
Coosa,Coosa,0,,Alabama,3/14/20,3/14/20,25,0,1,37,0,0,3
Covington,Covington,0,,Alabama,3/14/20,3/14/20,77,0,1,39,0,0,21
Crenshaw,Crenshaw,0,,Alabama,3/14/20,3/14/20,31,0,1,41,0,0,3
Cullman,Cullman,0,,Alabama,3/14/20,3/14/20,152,0,1,43,0,0,25
Dale,Dale,0,,Alabama,3/14/20,3/14/20,86,0,1,45,0,0,15
"Choctaw, Clarke, Dallas and 11 more",Dallas,0,,Alabama,3/14/20,3/14/20,185,0,1,47,0,0,23
DeKalb,DeKalb,0,,Alabama,3/14/20,3/14/20,114,0,1,49,0,0,18
Elmore,Elmore,0,,Alabama,3/14/20,3/14/20,176,0,1,51,0,0,21
Escambia,Escambia,0,,Alabama,3/14/20,3/14/20,101,0,1,53,0,0,15
Etowah,Etowah,0,,Alabama,3/14/20,3/14/20,551,0,1,55,0,0,36
Fayette,Fayette,0,,Alabama,3/14/20,3/14/20,16,0,1,57,0,0,3
Franklin,Franklin,0,,Alabama,3/14/20,3/14/20,89,0,1,59,0,0,9
Geneva,Geneva,0,,Alabama,3/14/20,3/14/20,42,0,1,61,0,0,5
"Choctaw, Clarke, Dallas and 11 more",Greene,0,,Alabama,3/14/20,3/14/20,42,0,1,63,0,0,2
"Choctaw, Clarke, Dallas and 11 more",Hale,0,,Alabama,3/14/20,3/14/20,73,0,1,65,0,0,17
Henry,Henry,0,,Alabama,3/14/20,3/14/20,34,0,1,67,0,0,5
Out of State,Out of State,0,,Alabama,3/14/20,3/14/20,189,0,1,,0,0,175
Total,Total,0,,Alabama,3/14/20,3/14/20,11800,0,1,,0,0,1819
Houston,Houston,0,,Alabama,3/14/20,3/14/20,184,0,1,69,0,0,37
Jackson,Jackson,0,,Alabama,3/14/20,3/14/20,141,0,1,71,0,0,21
"Choctaw, Clarke, Dallas and 11 more",Jefferson,0,,Alabama,3/14/20,3/14/20,1665,0,1,73,0,0,252
Lamar,Lamar,0,,Alabama,3/14/20,3/14/20,26,0,1,75,0,0,8
Lauderdale,Lauderdale,0,,Alabama,3/14/20,3/14/20,200,0,1,77,0,0,33
Lawrence,Lawrence,0,,Alabama,3/14/20,3/14/20,63,0,1,79,0,0,9
Lee,Lee,0,,Alabama,3/14/20,3/14/20,226,0,1,81,0,0,46
Limestone,Limestone,0,,Alabama,3/14/20,3/14/20,115,0,1,83,0,0,26
"Choctaw, Clarke, Dallas and 11 more",Lowndes,0,,Alabama,3/14/20,3/14/20,31,0,1,85,0,0,6
Macon,Macon,0,,Alabama,3/14/20,3/14/20,44,0,1,87,0,0,5
Madison,Madison,0,,Alabama,3/14/20,3/14/20,726,0,1,89,0,0,114
"Choctaw, Clarke, Dallas and 11 more",Marengo,0,,Alabama,3/14/20,3/14/20,44,0,1,91,0,0,3
Marion,Marion,0,,Alabama,3/14/20,3/14/20,85,0,1,93,0,0,11
Marshall,Marshall,0,,Alabama,3/14/20,3/14/20,198,0,1,95,0,0,25
Mobile,Mobile,0,,Alabama,3/14/20,3/14/20,1603,0,1,97,0,0,188
Monroe,Monroe,0,,Alabama,3/14/20,3/14/20,81,0,1,99,0,0,7
"Choctaw, Clarke, Dallas and 11 more",Montgomery,0,,Alabama,3/14/20,3/14/20,660,0,1,101,0,0,105
Morgan,Morgan,0,,Alabama,3/14/20,3/14/20,214,0,1,103,0,0,35
"Choctaw, Clarke, Dallas and 11 more",Perry,0,,Alabama,3/14/20,3/14/20,36,0,1,105,0,0,4
"Choctaw, Clarke, Dallas and 11 more",Pickens,0,,Alabama,3/14/20,3/14/20,56,0,1,107,0,0,28
Pike,Pike,0,,Alabama,3/14/20,3/14/20,71,0,1,109,0,0,19
Randolph,Randolph,0,,Alabama,3/14/20,3/14/20,30,0,1,111,0,0,6
Russell,Russell,0,,Alabama,3/14/20,3/14/20,82,0,1,113,0,0,16
St. Clair,St. Clair,0,,Alabama,3/14/20,3/14/20,154,0,1,115,0,0,24
Shelby,Shelby,0,,Alabama,3/14/20,3/14/20,294,0,1,117,0,0,38
"Choctaw, Clarke, Dallas and 11 more",Sumter,0,,Alabama,3/14/20,3/14/20,30,0,1,119,0,0,1
Talladega,Talladega,0,,Alabama,3/14/20,3/14/20,247,0,1,121,0,0,41
Tallapoosa,Tallapoosa,0,,Alabama,3/14/20,3/14/20,112,0,1,123,0,0,18
"Choctaw, Clarke, Dallas and 11 more",Tuscaloosa,0,,Alabama,3/14/20,3/14/20,316,0,1,125,0,0,54
Walker,Walker,0,,Alabama,3/14/20,3/14/20,169,0,1,127,0,0,23
Washington,Washington,0,,Alabama,3/14/20,3/14/20,47,0,1,129,0,0,3
"Choctaw, Clarke, Dallas and 11 more",Wilcox,0,,Alabama,3/14/20,3/14/20,65,0,1,131,0,0,6
Winston,Winston,0,,Alabama,3/14/20,3/14/20,69,0,1,133,0,0,5
