Congressional District 7,County,F9,geogfips,State,WED,WED_Title,F5,F7,Number of Records,Total,Ucfe,UCX,UI
Bullock,Bullock,0,11,Alabama,6/6/20,6/6/20,315,0,1,11,0,0,54
Butler,Butler,0,13,Alabama,6/6/20,6/6/20,1194,0,1,13,0,0,129
Calhoun,Calhoun,0,15,Alabama,6/6/20,6/6/20,4210,0,1,15,0,0,478
Chambers,Chambers,0,17,Alabama,6/6/20,6/6/20,1376,0,1,17,0,0,191
Cherokee,Cherokee,0,19,Alabama,6/6/20,6/6/20,489,0,1,19,0,0,61
Chilton,Chilton,0,21,Alabama,6/6/20,6/6/20,1171,0,1,21,0,0,136
"Choctaw, Clarke, Dallas and 11 more",Choctaw,0,23,Alabama,6/6/20,6/6/20,218,0,1,23,0,0,50
"Choctaw, Clarke, Dallas and 11 more",Clarke,0,25,Alabama,6/6/20,6/6/20,717,0,1,25,0,0,105
Clay,Clay,0,27,Alabama,6/6/20,6/6/20,192,0,1,27,0,0,28
Cleburne,Cleburne,0,29,Alabama,6/6/20,6/6/20,199,0,1,29,0,0,29
Coffee,Coffee,0,31,Alabama,6/6/20,6/6/20,1092,0,1,31,0,0,136
Colbert,Colbert,0,33,Alabama,6/6/20,6/6/20,1997,0,1,33,0,0,199
Conecuh,Conecuh,0,35,Alabama,6/6/20,6/6/20,374,0,1,35,0,0,66
Coosa,Coosa,0,37,Alabama,6/6/20,6/6/20,358,0,1,37,0,0,42
Covington,Covington,0,39,Alabama,6/6/20,6/6/20,712,0,1,39,0,0,82
Crenshaw,Crenshaw,0,41,Alabama,6/6/20,6/6/20,462,0,1,41,0,0,52
Cullman,Cullman,0,43,Alabama,6/6/20,6/6/20,1957,0,1,43,0,0,205
Dale,Dale,0,45,Alabama,6/6/20,6/6/20,1060,0,1,45,0,0,150
"Choctaw, Clarke, Dallas and 11 more",Dallas,0,47,Alabama,6/6/20,6/6/20,2153,0,1,47,0,0,228
DeKalb,DeKalb,0,49,Alabama,6/6/20,6/6/20,1467,0,1,49,0,0,185
Elmore,Elmore,0,51,Alabama,6/6/20,6/6/20,2617,0,1,51,0,0,274
Escambia,Escambia,0,53,Alabama,6/6/20,6/6/20,926,0,1,53,0,0,148
Etowah,Etowah,0,55,Alabama,6/6/20,6/6/20,3919,0,1,55,0,0,351
Fayette,Fayette,0,57,Alabama,6/6/20,6/6/20,395,0,1,57,0,0,48
Franklin,Franklin,0,59,Alabama,6/6/20,6/6/20,713,0,1,59,0,0,93
Geneva,Geneva,0,61,Alabama,6/6/20,6/6/20,414,0,1,61,0,0,55
"Choctaw, Clarke, Dallas and 11 more",Greene,0,63,Alabama,6/6/20,6/6/20,449,0,1,63,0,0,58
"Choctaw, Clarke, Dallas and 11 more",Hale,0,65,Alabama,6/6/20,6/6/20,1088,0,1,65,0,0,72
Henry,Henry,0,67,Alabama,6/6/20,6/6/20,301,0,1,67,0,0,56
Houston,Houston,0,69,Alabama,6/6/20,6/6/20,2780,0,1,69,0,0,391
Jackson,Jackson,0,71,Alabama,6/6/20,6/6/20,1391,0,1,71,0,0,183
"Choctaw, Clarke, Dallas and 11 more",Jefferson,0,73,Alabama,6/6/20,6/6/20,28338,0,1,73,0,0,2977
Lamar,Lamar,0,75,Alabama,6/6/20,6/6/20,258,0,1,75,0,0,50
Lauderdale,Lauderdale,0,77,Alabama,6/6/20,6/6/20,2977,0,1,77,0,0,288
Lawrence,Lawrence,0,79,Alabama,6/6/20,6/6/20,657,0,1,79,0,0,70
Lee,Lee,0,81,Alabama,6/6/20,6/6/20,5059,0,1,81,0,0,502
Limestone,Limestone,0,83,Alabama,6/6/20,6/6/20,1799,0,1,83,0,0,189
"Choctaw, Clarke, Dallas and 11 more",Lowndes,0,85,Alabama,6/6/20,6/6/20,714,0,1,85,0,0,60
Macon,Macon,0,87,Alabama,6/6/20,6/6/20,810,0,1,87,0,0,99
Madison,Madison,0,89,Alabama,6/6/20,6/6/20,11760,0,1,89,0,0,1257
"Choctaw, Clarke, Dallas and 11 more",Marengo,0,91,Alabama,6/6/20,6/6/20,457,0,1,91,0,0,77
Marion,Marion,0,93,Alabama,6/6/20,6/6/20,591,0,1,93,0,0,98
Marshall,Marshall,0,95,Alabama,6/6/20,6/6/20,2248,0,1,95,0,0,340
Mobile,Mobile,0,97,Alabama,6/6/20,6/6/20,17265,0,1,97,0,0,2369
Monroe,Monroe,0,99,Alabama,6/6/20,6/6/20,564,0,1,99,0,0,98
"Choctaw, Clarke, Dallas and 11 more",Montgomery,0,101,Alabama,6/6/20,6/6/20,12551,0,1,101,0,0,1518
Morgan,Morgan,0,103,Alabama,6/6/20,6/6/20,3590,0,1,103,0,0,404
"Choctaw, Clarke, Dallas and 11 more",Perry,0,105,Alabama,6/6/20,6/6/20,474,0,1,105,0,0,50
"Choctaw, Clarke, Dallas and 11 more",Pickens,0,107,Alabama,6/6/20,6/6/20,711,0,1,107,0,0,59
Pike,Pike,0,109,Alabama,6/6/20,6/6/20,863,0,1,109,0,0,134
Randolph,Randolph,0,111,Alabama,6/6/20,6/6/20,346,0,1,111,0,0,44
Russell,Russell,0,113,Alabama,6/6/20,6/6/20,893,0,1,113,0,0,227
St. Clair,St. Clair,0,115,Alabama,6/6/20,6/6/20,2385,0,1,115,0,0,238
Shelby,Shelby,0,117,Alabama,6/6/20,6/6/20,4267,0,1,117,0,0,375
"Choctaw, Clarke, Dallas and 11 more",Sumter,0,119,Alabama,6/6/20,6/6/20,355,0,1,119,0,0,61
Talladega,Talladega,0,121,Alabama,6/6/20,6/6/20,2837,0,1,121,0,0,323
Tallapoosa,Tallapoosa,0,123,Alabama,6/6/20,6/6/20,1632,0,1,123,0,0,159
"Choctaw, Clarke, Dallas and 11 more",Tuscaloosa,0,125,Alabama,6/6/20,6/6/20,11746,0,1,125,0,0,889
Walker,Walker,0,127,Alabama,6/6/20,6/6/20,1889,0,1,127,0,0,258
Washington,Washington,0,129,Alabama,6/6/20,6/6/20,528,0,1,129,0,0,82
"Choctaw, Clarke, Dallas and 11 more",Wilcox,0,131,Alabama,6/6/20,6/6/20,458,0,1,131,0,0,110
Winston,Winston,0,133,Alabama,6/6/20,6/6/20,582,0,1,133,0,0,79
INA,INA,0,,Alabama,6/6/20,6/6/20,8073,0,1,,0,0,1025
Total,Total,0,,Alabama,6/6/20,6/6/20,174980,0,1,,0,0,19950
Autauga,Autauga,0,1,Alabama,5/30/20,5/30/20,1730,0,1,1,0,0,195
Baldwin,Baldwin,0,3,Alabama,5/30/20,5/30/20,7075,0,1,3,0,0,590
Barbour,Barbour,0,5,Alabama,5/30/20,5/30/20,512,0,1,5,0,0,127
Bibb,Bibb,0,7,Alabama,5/30/20,5/30/20,1013,0,1,7,0,0,123
Blount,Blount,0,9,Alabama,5/30/20,5/30/20,895,0,1,9,0,0,116
Bullock,Bullock,0,11,Alabama,5/30/20,5/30/20,287,0,1,11,0,0,56
Butler,Butler,0,13,Alabama,5/30/20,5/30/20,1121,0,1,13,0,0,142
Calhoun,Calhoun,0,15,Alabama,5/30/20,5/30/20,4626,0,1,15,0,0,467
Chambers,Chambers,0,17,Alabama,5/30/20,5/30/20,1375,0,1,17,0,0,174
Cherokee,Cherokee,0,19,Alabama,5/30/20,5/30/20,525,0,1,19,0,0,52
Chilton,Chilton,0,21,Alabama,5/30/20,5/30/20,1257,0,1,21,0,0,137
"Choctaw, Clarke, Dallas and 11 more",Choctaw,0,23,Alabama,5/30/20,5/30/20,216,0,1,23,0,0,42
"Choctaw, Clarke, Dallas and 11 more",Clarke,0,25,Alabama,5/30/20,5/30/20,747,0,1,25,0,0,121
Clay,Clay,0,27,Alabama,5/30/20,5/30/20,197,0,1,27,0,0,35
Cleburne,Cleburne,0,29,Alabama,5/30/20,5/30/20,213,0,1,29,0,0,20
Coffee,Coffee,0,31,Alabama,5/30/20,5/30/20,1158,0,1,31,0,0,163
Colbert,Colbert,0,33,Alabama,5/30/20,5/30/20,2095,0,1,33,0,0,183
Conecuh,Conecuh,0,35,Alabama,5/30/20,5/30/20,313,0,1,35,0,0,75
Coosa,Coosa,0,37,Alabama,5/30/20,5/30/20,321,0,1,37,0,0,34
Covington,Covington,0,39,Alabama,5/30/20,5/30/20,747,0,1,39,0,0,101
Crenshaw,Crenshaw,0,41,Alabama,5/30/20,5/30/20,436,0,1,41,0,0,54
Cullman,Cullman,0,43,Alabama,5/30/20,5/30/20,2227,0,1,43,0,0,229
Dale,Dale,0,45,Alabama,5/30/20,5/30/20,1098,0,1,45,0,0,142
"Choctaw, Clarke, Dallas and 11 more",Dallas,0,47,Alabama,5/30/20,5/30/20,2133,0,1,47,0,0,232
DeKalb,DeKalb,0,49,Alabama,5/30/20,5/30/20,1584,0,1,49,0,0,167
Elmore,Elmore,0,51,Alabama,5/30/20,5/30/20,2439,0,1,51,0,0,321
Escambia,Escambia,0,53,Alabama,5/30/20,5/30/20,870,0,1,53,0,0,188
Etowah,Etowah,0,55,Alabama,5/30/20,5/30/20,4239,0,1,55,0,0,376
Fayette,Fayette,0,57,Alabama,5/30/20,5/30/20,347,0,1,57,0,0,50
Franklin,Franklin,0,59,Alabama,5/30/20,5/30/20,722,0,1,59,0,0,94
Geneva,Geneva,0,61,Alabama,5/30/20,5/30/20,443,0,1,61,0,0,56
"Choctaw, Clarke, Dallas and 11 more",Greene,0,63,Alabama,5/30/20,5/30/20,488,0,1,63,0,0,53
"Choctaw, Clarke, Dallas and 11 more",Hale,0,65,Alabama,5/30/20,5/30/20,1123,0,1,65,0,0,144
Henry,Henry,0,67,Alabama,5/30/20,5/30/20,316,0,1,67,0,0,52
Houston,Houston,0,69,Alabama,5/30/20,5/30/20,2957,0,1,69,0,0,386
Jackson,Jackson,0,71,Alabama,5/30/20,5/30/20,1478,0,1,71,0,0,158
"Choctaw, Clarke, Dallas and 11 more",Jefferson,0,73,Alabama,5/30/20,5/30/20,28945,0,1,73,0,0,3302
Lamar,Lamar,0,75,Alabama,5/30/20,5/30/20,289,0,1,75,0,0,74
Lauderdale,Lauderdale,0,77,Alabama,5/30/20,5/30/20,3193,0,1,77,0,0,265
Lawrence,Lawrence,0,79,Alabama,5/30/20,5/30/20,669,0,1,79,0,0,68
Lee,Lee,0,81,Alabama,5/30/20,5/30/20,5103,0,1,81,0,0,531
Limestone,Limestone,0,83,Alabama,5/30/20,5/30/20,1899,0,1,83,0,0,159
"Choctaw, Clarke, Dallas and 11 more",Lowndes,0,85,Alabama,5/30/20,5/30/20,657,0,1,85,0,0,50
Macon,Macon,0,87,Alabama,5/30/20,5/30/20,800,0,1,87,0,0,119
Madison,Madison,0,89,Alabama,5/30/20,5/30/20,12430,0,1,89,0,0,1261
"Choctaw, Clarke, Dallas and 11 more",Marengo,0,91,Alabama,5/30/20,5/30/20,479,0,1,91,0,0,73
Marion,Marion,0,93,Alabama,5/30/20,5/30/20,622,0,1,93,0,0,110
Marshall,Marshall,0,95,Alabama,5/30/20,5/30/20,2663,0,1,95,0,0,323
Mobile,Mobile,0,97,Alabama,5/30/20,5/30/20,17856,0,1,97,0,0,2433
Monroe,Monroe,0,99,Alabama,5/30/20,5/30/20,552,0,1,99,0,0,117
"Choctaw, Clarke, Dallas and 11 more",Montgomery,0,101,Alabama,5/30/20,5/30/20,11912,0,1,101,0,0,1479
Morgan,Morgan,0,103,Alabama,5/30/20,5/30/20,3727,0,1,103,0,0,436
"Choctaw, Clarke, Dallas and 11 more",Perry,0,105,Alabama,5/30/20,5/30/20,483,0,1,105,0,0,62
"Choctaw, Clarke, Dallas and 11 more",Pickens,0,107,Alabama,5/30/20,5/30/20,762,0,1,107,0,0,118
Pike,Pike,0,109,Alabama,5/30/20,5/30/20,855,0,1,109,0,0,142
Randolph,Randolph,0,111,Alabama,5/30/20,5/30/20,351,0,1,111,0,0,62
Russell,Russell,0,113,Alabama,5/30/20,5/30/20,908,0,1,113,0,0,219
St. Clair,St. Clair,0,115,Alabama,5/30/20,5/30/20,2555,0,1,115,0,0,257
Shelby,Shelby,0,117,Alabama,5/30/20,5/30/20,4414,0,1,117,0,0,449
"Choctaw, Clarke, Dallas and 11 more",Sumter,0,119,Alabama,5/30/20,5/30/20,386,0,1,119,0,0,57
Talladega,Talladega,0,121,Alabama,5/30/20,5/30/20,3154,0,1,121,0,0,341
Tallapoosa,Tallapoosa,0,123,Alabama,5/30/20,5/30/20,1460,0,1,123,0,0,173
"Choctaw, Clarke, Dallas and 11 more",Tuscaloosa,0,125,Alabama,5/30/20,5/30/20,11768,0,1,125,0,0,1386
Walker,Walker,0,127,Alabama,5/30/20,5/30/20,2006,0,1,127,0,0,267
Washington,Washington,0,129,Alabama,5/30/20,5/30/20,554,0,1,129,0,0,88
"Choctaw, Clarke, Dallas and 11 more",Wilcox,0,131,Alabama,5/30/20,5/30/20,440,0,1,131,0,0,73
Winston,Winston,0,133,Alabama,5/30/20,5/30/20,594,0,1,133,0,0,82
INA,INA,0,,Alabama,5/30/20,5/30/20,6174,0,1,,0,0,555
Total,Total,0,,Alabama,5/30/20,5/30/20,177983,0,1,,0,0,20786
Autauga,Autauga,0,1,Alabama,5/23/20,5/23/20,1981,0,1,1,0,0,299
Baldwin,Baldwin,0,3,Alabama,5/23/20,5/23/20,7778,0,1,3,0,0,755
Barbour,Barbour,0,5,Alabama,5/23/20,5/23/20,483,0,1,5,0,0,106
Bibb,Bibb,0,7,Alabama,5/23/20,5/23/20,909,0,1,7,0,0,217
Blount,Blount,0,9,Alabama,5/23/20,5/23/20,918,0,1,9,0,0,174
Bullock,Bullock,0,11,Alabama,5/23/20,5/23/20,298,0,1,11,0,0,61
Butler,Butler,0,13,Alabama,5/23/20,5/23/20,1209,0,1,13,0,0,150
