Date,Geo Name,Geo Name County,Type,E,E-OTY#,E-OTY%,LF,LF-OTY#,LF-OTY%,Number of Records,Pmur,Pyur,U,U-Oty#,U-OTY%,UR,Ur-Oty#,UR-OTY%
13-Jul,Oklahoma,Oklahoma,State,1714033,-2627,-0.153029721,1811404,-2293,-0.126426851,1,5.7,5.4,97371,334,0.344198605,5.4,0,0
13-Aug,Oklahoma,Oklahoma,State,1705540,-1899,-0.1112192,1799376,-2479,-0.137580438,1,5.4,5.2,93836,-580,-0.614302661,5.2,0,0
13-Sep,Oklahoma,Oklahoma,State,1712658,-7122,-0.414122737,1806827,-5933,-0.327290982,1,5.2,5.1,94169,1189,1.278769628,5.2,0.1,1.960784314
13-Oct,Oklahoma,Oklahoma,State,1707125,-22523,-1.302172465,1803669,-21050,-1.153602281,1,5.2,5.2,96544,1473,1.549368367,5.4,0.2,3.846153846
13-Nov,Oklahoma,Oklahoma,State,1718870,-12174,-0.703275018,1809682,-13140,-0.720860292,1,5.4,5,90812,-966,-1.052539824,5,0,0
13-Dec,Oklahoma,Oklahoma,State,1702967,-13219,-0.770254506,1790406,-19910,-1.099807989,1,5,5.2,87439,-6691,-7.108254542,4.9,-0.3,-5.769230769
14-Jan,Oklahoma,Oklahoma,State,1689859,-528,-0.031235451,1782580,-11244,-0.626817347,1,4.9,5.8,92721,-10716,-10.35992923,5.2,-0.6,-10.34482759
14-Feb,Oklahoma,Oklahoma,State,1689667,-2837,-0.167621465,1782132,-9991,-0.557495217,1,5.2,5.6,92465,-7154,-7.181360985,5.2,-0.4,-7.142857143
14-Mar,Oklahoma,Oklahoma,State,1702198,170,0.009988085,1787155,-6954,-0.387601868,1,5.2,5.1,84957,-7124,-7.73666663,4.8,-0.3,-5.882352941
14-Apr,Oklahoma,Oklahoma,State,1704931,-4135,-0.241945016,1777170,-17785,-0.990832639,1,4.8,4.8,72239,-13650,-15.89260557,4.1,-0.7,-14.58333333
14-May,Oklahoma,Oklahoma,State,1702792,-6338,-0.370831944,1784802,-21148,-1.171018024,1,4.1,5.4,82010,-14810,-15.29642636,4.6,-0.8,-14.81481482
14-Jun,Oklahoma,Oklahoma,State,1716504,-1517,-0.08829927,1802734,-19819,-1.087430654,1,4.6,5.7,86230,-18302,-17.50851414,4.8,-0.9,-15.78947368
14-Jul,Oklahoma,Oklahoma,State,1715904,1871,0.109157758,1798489,-12915,-0.712982857,1,4.8,5.4,82585,-14786,-15.18521942,4.6,-0.8,-14.81481482
14-Aug,Oklahoma,Oklahoma,State,1711431,5891,0.345403802,1790327,-9049,-0.50289656,1,4.6,5.2,78896,-14940,-15.92139477,4.4,-0.8,-15.38461539
14-Sep,Oklahoma,Oklahoma,State,1724594,11936,0.6969284,1800293,-6534,-0.361628424,1,4.4,5.2,75699,-18470,-19.61367329,4.2,-1,-19.23076923
14-Oct,Oklahoma,Oklahoma,State,1740939,33814,1.980757121,1816376,12707,0.704508421,1,4.2,5.4,75437,-21107,-21.86257043,4.2,-1.2,-22.22222222
