SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 05",1579089,AR,West Memphis,2020,May,Not Adj,Arkansas,"9,098","10,681","1,583",14.80%
"2020, 04",1578589,AR,Arkansas,2020,April,Not Adj,Arkansas,"1,174,337","1,309,020","134,683",10.30%
"2020, 04",1578598,AR,Arkansas County,2020,April,Not Adj,Arkansas,"8,313","8,773",460,5.20%
"2020, 04",1578603,AR,Ashley County,2020,April,Not Adj,Arkansas,"6,278","7,188",910,12.70%
"2020, 04",1578608,AR,Baxter County,2020,April,Not Adj,Arkansas,"14,108","15,796","1,688",10.70%
"2020, 04",1578613,AR,Benton County,2020,April,Not Adj,Arkansas,"119,915","130,437","10,522",8.10%
"2020, 04",1578618,AR,Boone County,2020,April,Not Adj,Arkansas,"14,084","15,782","1,698",10.80%
"2020, 04",1578623,AR,Bradley County,2020,April,Not Adj,Arkansas,"3,892","4,368",476,10.90%
"2020, 04",1578628,AR,Calhoun County,2020,April,Not Adj,Arkansas,"2,125","2,297",172,7.50%
"2020, 04",1578633,AR,Carroll County,2020,April,Not Adj,Arkansas,"11,157","12,502","1,345",10.80%
"2020, 04",1578638,AR,Chicot County,2020,April,Not Adj,Arkansas,"2,628","3,059",431,14.10%
"2020, 04",1578643,AR,Clark County,2020,April,Not Adj,Arkansas,"8,396","9,253",857,9.30%
"2020, 04",1578648,AR,Clay County,2020,April,Not Adj,Arkansas,"4,830","5,295",465,8.80%
"2020, 04",1578653,AR,Cleburne County,2020,April,Not Adj,Arkansas,"7,796","9,273","1,477",15.90%
"2020, 04",1578658,AR,Cleveland County,2020,April,Not Adj,Arkansas,"2,816","3,088",272,8.80%
"2020, 04",1578663,AR,Columbia County,2020,April,Not Adj,Arkansas,"8,076","8,929",853,9.60%
"2020, 04",1578668,AR,Conway County,2020,April,Not Adj,Arkansas,"7,154","8,052",898,11.20%
"2020, 04",1578673,AR,Craighead County,2020,April,Not Adj,Arkansas,"49,848","54,877","5,029",9.20%
"2020, 04",1578678,AR,Crawford County,2020,April,Not Adj,Arkansas,"23,348","25,775","2,427",9.40%
"2020, 04",1578683,AR,Crittenden County,2020,April,Not Adj,Arkansas,"17,873","20,768","2,895",13.90%
"2020, 04",1578688,AR,Cross County,2020,April,Not Adj,Arkansas,"6,436","7,195",759,10.50%
"2020, 04",1578693,AR,Dallas County,2020,April,Not Adj,Arkansas,"2,394","2,649",255,9.60%
"2020, 04",1578698,AR,Desha County,2020,April,Not Adj,Arkansas,"4,588","5,074",486,9.60%
"2020, 04",1578703,AR,Drew County,2020,April,Not Adj,Arkansas,"6,669","7,487",818,10.90%
"2020, 04",1578708,AR,Faulkner County,2020,April,Not Adj,Arkansas,"53,364","59,805","6,441",10.80%
"2020, 04",1578713,AR,Franklin County,2020,April,Not Adj,Arkansas,"6,530","7,156",626,8.70%
"2020, 04",1578718,AR,Fulton County,2020,April,Not Adj,Arkansas,"4,390","4,749",359,7.60%
"2020, 04",1578723,AR,Garland County,2020,April,Not Adj,Arkansas,"33,741","39,997","6,256",15.60%
"2020, 04",1578728,AR,Grant County,2020,April,Not Adj,Arkansas,"7,177","7,831",654,8.40%
"2020, 04",1578733,AR,Greene County,2020,April,Not Adj,Arkansas,"17,507","19,578","2,071",10.60%
"2020, 04",1578738,AR,Hempstead County,2020,April,Not Adj,Arkansas,"8,539","9,346",807,8.60%
"2020, 04",1578743,AR,Hot Spring County,2020,April,Not Adj,Arkansas,"12,007","13,440","1,433",10.70%
"2020, 04",1578748,AR,Howard County,2020,April,Not Adj,Arkansas,"4,866","5,299",433,8.20%
"2020, 04",1578753,AR,Independence County,2020,April,Not Adj,Arkansas,"14,612","16,561","1,949",11.80%
"2020, 04",1578758,AR,Izard County,2020,April,Not Adj,Arkansas,"4,125","4,778",653,13.70%
"2020, 04",1578763,AR,Jackson County,2020,April,Not Adj,Arkansas,"4,804","5,362",558,10.40%
"2020, 04",1578768,AR,Jefferson County,2020,April,Not Adj,Arkansas,"23,925","26,702","2,777",10.40%
"2020, 04",1578773,AR,Johnson County,2020,April,Not Adj,Arkansas,"8,799","9,917","1,118",11.30%
"2020, 04",1578778,AR,Lafayette County,2020,April,Not Adj,Arkansas,"2,102","2,354",252,10.70%
"2020, 04",1578783,AR,Lawrence County,2020,April,Not Adj,Arkansas,"6,049","6,681",632,9.50%
"2020, 04",1578788,AR,Lee County,2020,April,Not Adj,Arkansas,"2,368","2,627",259,9.90%
"2020, 04",1578793,AR,Lincoln County,2020,April,Not Adj,Arkansas,"3,436","3,780",344,9.10%
"2020, 04",1578798,AR,Little River County,2020,April,Not Adj,Arkansas,"4,734","5,283",549,10.40%
"2020, 04",1578803,AR,Logan County,2020,April,Not Adj,Arkansas,"7,181","8,188","1,007",12.30%
"2020, 04",1578808,AR,Lonoke County,2020,April,Not Adj,Arkansas,"29,413","32,470","3,057",9.40%
"2020, 04",1578813,AR,Madison County,2020,April,Not Adj,Arkansas,"6,491","6,894",403,5.80%
"2020, 04",1578818,AR,Marion County,2020,April,Not Adj,Arkansas,"5,724","6,295",571,9.10%
"2020, 04",1578823,AR,Miller County,2020,April,Not Adj,Arkansas,"16,965","19,605","2,640",13.50%
"2020, 04",1578828,AR,Mississippi County,2020,April,Not Adj,Arkansas,"14,721","16,937","2,216",13.10%
"2020, 04",1578833,AR,Monroe County,2020,April,Not Adj,Arkansas,"2,376","2,600",224,8.60%
"2020, 04",1578838,AR,Montgomery County,2020,April,Not Adj,Arkansas,"2,468","2,761",293,10.60%
"2020, 04",1578843,AR,Nevada County,2020,April,Not Adj,Arkansas,"3,137","3,450",313,9.10%
"2020, 04",1578848,AR,Newton County,2020,April,Not Adj,Arkansas,"2,914","3,210",296,9.20%
"2020, 04",1578853,AR,Ouachita County,2020,April,Not Adj,Arkansas,"8,463","9,369",906,9.70%
"2020, 04",1578858,AR,Perry County,2020,April,Not Adj,Arkansas,"3,613","4,006",393,9.80%
"2020, 04",1578863,AR,Phillips County,2020,April,Not Adj,Arkansas,"5,277","6,126",849,13.90%
"2020, 04",1578868,AR,Pike County,2020,April,Not Adj,Arkansas,"3,694","4,055",361,8.90%
"2020, 04",1578873,AR,Poinsett County,2020,April,Not Adj,Arkansas,"9,136","9,904",768,7.80%
"2020, 04",1578878,AR,Polk County,2020,April,Not Adj,Arkansas,"6,943","7,751",808,10.40%
"2020, 04",1578883,AR,Pope County,2020,April,Not Adj,Arkansas,"25,217","27,880","2,663",9.60%
"2020, 04",1578888,AR,Prairie County,2020,April,Not Adj,Arkansas,"3,113","3,365",252,7.50%
"2020, 04",1578893,AR,Pulaski County,2020,April,Not Adj,Arkansas,"161,950","183,876","21,926",11.90%
"2020, 04",1578898,AR,Randolph County,2020,April,Not Adj,Arkansas,"6,450","7,148",698,9.80%
"2020, 04",1578903,AR,St. Francis County,2020,April,Not Adj,Arkansas,"6,965","7,898",933,11.80%
"2020, 04",1578908,AR,Saline County,2020,April,Not Adj,Arkansas,"50,625","55,650","5,025",9.00%
"2020, 04",1578913,AR,Scott County,2020,April,Not Adj,Arkansas,"3,828","4,084",256,6.30%
"2020, 04",1578918,AR,Searcy County,2020,April,Not Adj,Arkansas,"2,472","2,776",304,11.00%
"2020, 04",1578923,AR,Sebastian County,2020,April,Not Adj,Arkansas,"49,185","55,235","6,050",11.00%
"2020, 04",1578928,AR,Sevier County,2020,April,Not Adj,Arkansas,"4,760","5,193",433,8.30%
"2020, 04",1578933,AR,Sharp County,2020,April,Not Adj,Arkansas,"4,948","5,579",631,11.30%
"2020, 04",1578938,AR,Stone County,2020,April,Not Adj,Arkansas,"4,017","4,560",543,11.90%
"2020, 04",1578943,AR,Union County,2020,April,Not Adj,Arkansas,"13,330","15,107","1,777",11.80%
"2020, 04",1578948,AR,Van Buren County,2020,April,Not Adj,Arkansas,"4,915","5,560",645,11.60%
"2020, 04",1578953,AR,Washington County,2020,April,Not Adj,Arkansas,"109,397","119,418","10,021",8.40%
"2020, 04",1578958,AR,White County,2020,April,Not Adj,Arkansas,"29,135","32,405","3,270",10.10%
"2020, 04",1578963,AR,Woodruff County,2020,April,Not Adj,Arkansas,"2,349","2,557",208,8.10%
"2020, 04",1578968,AR,Yell County,2020,April,Not Adj,Arkansas,"7,367","7,943",576,7.30%
"2020, 04",1578973,AR,Bella Vista,2020,April,Not Adj,Arkansas,"10,606","11,736","1,130",9.60%
"2020, 04",1578978,AR,Benton,2020,April,Not Adj,Arkansas,"15,058","16,694","1,636",9.80%
"2020, 04",1578983,AR,Bentonville,2020,April,Not Adj,Arkansas,"23,652","25,455","1,803",7.10%
"2020, 04",1578988,AR,Blytheville,2020,April,Not Adj,Arkansas,"4,958","5,728",770,13.40%
"2020, 04",1578993,AR,Cabot,2020,April,Not Adj,Arkansas,"10,455","11,698","1,243",10.60%
"2020, 04",1578998,AR,Conway,2020,April,Not Adj,Arkansas,"29,143","32,989","3,846",11.70%
"2020, 04",1579003,AR,El Dorado,2020,April,Not Adj,Arkansas,"5,774","6,726",952,14.20%
"2020, 04",1579008,AR,Fayetteville,2020,April,Not Adj,Arkansas,"42,038","46,989","4,951",10.50%
"2020, 04",1579013,AR,Fort Smith,2020,April,Not Adj,Arkansas,"34,131","38,576","4,445",11.50%
"2020, 04",1579018,AR,Hot Springs National Park (Hot Springs),2020,April,Not Adj,Arkansas,"11,994","14,992","2,998",20.00%
"2020, 04",1579023,AR,Jacksonville,2020,April,Not Adj,Arkansas,"9,906","11,422","1,516",13.30%
"2020, 04",1579028,AR,Jonesboro,2020,April,Not Adj,Arkansas,"35,091","38,763","3,672",9.50%
"2020, 04",1579033,AR,Little Rock,2020,April,Not Adj,Arkansas,"83,367","94,719","11,352",12.00%
"2020, 04",1579038,AR,North Little Rock,2020,April,Not Adj,Arkansas,"25,576","29,587","4,011",13.60%
"2020, 04",1579043,AR,Paragould,2020,April,Not Adj,Arkansas,"11,062","12,638","1,576",12.50%
"2020, 04",1579048,AR,Pine Bluff,2020,April,Not Adj,Arkansas,"14,136","15,916","1,780",11.20%
"2020, 04",1579053,AR,Rogers,2020,April,Not Adj,Arkansas,"31,310","34,095","2,785",8.20%
"2020, 04",1579058,AR,Russellville,2020,April,Not Adj,Arkansas,"11,724","12,898","1,174",9.10%
"2020, 04",1579063,AR,Searcy,2020,April,Not Adj,Arkansas,"8,882","9,857",975,9.90%
"2020, 04",1579068,AR,Sherwood,2020,April,Not Adj,Arkansas,"13,806","15,516","1,710",11.00%
"2020, 04",1579073,AR,Springdale,2020,April,Not Adj,Arkansas,"34,631","37,428","2,797",7.50%
"2020, 04",1579078,AR,Texarkana,2020,April,Not Adj,Arkansas,"11,657","13,631","1,974",14.50%
"2020, 04",1579083,AR,Van Buren,2020,April,Not Adj,Arkansas,"9,077","10,053",976,9.70%
"2020, 04",1579088,AR,West Memphis,2020,April,Not Adj,Arkansas,"8,761","10,470","1,709",16.30%
"2020, 03",1578587,AR,Arkansas,2020,March,Not Adj,Arkansas,"1,311,083","1,378,026","66,943",4.90%
"2020, 03",1578597,AR,Arkansas County,2020,March,Not Adj,Arkansas,"9,223","9,608",385,4.00%
"2020, 03",1578602,AR,Ashley County,2020,March,Not Adj,Arkansas,"6,951","7,644",693,9.10%
"2020, 03",1578607,AR,Baxter County,2020,March,Not Adj,Arkansas,"15,643","16,509",866,5.20%
"2020, 03",1578612,AR,Benton County,2020,March,Not Adj,Arkansas,"135,081","140,012","4,931",3.50%
"2020, 03",1578617,AR,Boone County,2020,March,Not Adj,Arkansas,"15,700","16,427",727,4.40%
"2020, 03",1578622,AR,Bradley County,2020,March,Not Adj,Arkansas,"4,304","4,547",243,5.30%
"2020, 03",1578627,AR,Calhoun County,2020,March,Not Adj,Arkansas,"2,351","2,506",155,6.20%
"2020, 03",1578632,AR,Carroll County,2020,March,Not Adj,Arkansas,"12,284","12,844",560,4.40%
"2020, 03",1578637,AR,Chicot County,2020,March,Not Adj,Arkansas,"2,924","3,263",339,10.40%
"2020, 03",1578642,AR,Clark County,2020,March,Not Adj,Arkansas,"9,326","9,780",454,4.60%
"2020, 03",1578647,AR,Clay County,2020,March,Not Adj,Arkansas,"5,342","5,759",417,7.20%
"2020, 03",1578652,AR,Cleburne County,2020,March,Not Adj,Arkansas,"8,685","9,320",635,6.80%
"2020, 03",1578657,AR,Cleveland County,2020,March,Not Adj,Arkansas,"3,062","3,265",203,6.20%
"2020, 03",1578662,AR,Columbia County,2020,March,Not Adj,Arkansas,"8,938","9,488",550,5.80%
"2020, 03",1578667,AR,Conway County,2020,March,Not Adj,Arkansas,"7,943","8,425",482,5.70%
"2020, 03",1578672,AR,Craighead County,2020,March,Not Adj,Arkansas,"54,886","57,073","2,187",3.80%
"2020, 03",1578677,AR,Crawford County,2020,March,Not Adj,Arkansas,"25,752","26,947","1,195",4.40%
"2020, 03",1578682,AR,Crittenden County,2020,March,Not Adj,Arkansas,"20,465","21,617","1,152",5.30%
"2020, 03",1578687,AR,Cross County,2020,March,Not Adj,Arkansas,"7,131","7,524",393,5.20%
