area_type,period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
county,April,STAFFORD COUNTY,"1,856","1,759",97,5.20%,No
county,April,STANTON COUNTY,878,857,21,2.40%,No
county,April,STEVENS COUNTY,"2,534","2,447",87,3.40%,No
county,April,SUMNER COUNTY,"11,502","9,493","2,009",17.50%,No
county,April,THOMAS COUNTY,"4,030","3,858",172,4.30%,No
county,April,TREGO COUNTY,"1,289","1,205",84,6.50%,No
county,April,WABAUNSEE COUNTY,"3,449","3,186",263,7.60%,No
county,April,WALLACE COUNTY,911,891,20,2.20%,No
county,April,WASHINGTON COUNTY,"2,796","2,685",111,4.00%,No
county,April,WICHITA COUNTY,"1,180","1,151",29,2.50%,No
county,April,WILSON COUNTY,"4,369","3,551",818,18.70%,No
county,April,WOODSON COUNTY,"1,616","1,473",143,8.80%,No
county,April,WYANDOTTE COUNTY,"78,945","67,158","11,787",14.90%,No
county,March,ALLEN COUNTY,"6,677","6,475",202,3.00%,No
county,March,ANDERSON COUNTY,"4,291","4,169",122,2.80%,No
county,March,ATCHISON COUNTY,"7,173","6,844",329,4.60%,No
county,March,BARBER COUNTY,"2,355","2,303",52,2.20%,No
county,March,BARTON COUNTY,"14,164","13,757",407,2.90%,No
county,March,BOURBON COUNTY,"6,766","6,523",243,3.60%,No
county,March,BROWN COUNTY,"5,487","5,341",146,2.70%,No
county,March,BUTLER COUNTY,"32,811","31,839",972,3.00%,No
county,March,CHASE COUNTY,"1,637","1,592",45,2.70%,No
county,March,CHAUTAUQUA COUNTY,"1,491","1,445",46,3.10%,No
county,March,CHEROKEE COUNTY,"10,257","9,969",288,2.80%,No
county,March,CHEYENNE COUNTY,"1,301","1,271",30,2.30%,No
county,March,CLARK COUNTY,"1,080","1,056",24,2.20%,No
county,March,CLAY COUNTY,"3,819","3,719",100,2.60%,No
county,March,CLOUD COUNTY,"3,876","3,777",99,2.60%,No
county,March,COFFEY COUNTY,"4,084","3,931",153,3.70%,No
county,March,COMANCHE COUNTY,876,855,21,2.40%,No
county,March,COWLEY COUNTY,"16,732","16,212",520,3.10%,No
county,March,CRAWFORD COUNTY,"19,446","18,813",633,3.30%,No
county,March,DECATUR COUNTY,"1,235","1,202",33,2.70%,No
county,March,DICKINSON COUNTY,"9,089","8,723",366,4.00%,No
county,March,DONIPHAN COUNTY,"4,088","3,958",130,3.20%,No
county,March,DOUGLAS COUNTY,"66,172","64,399","1,773",2.70%,No
county,March,EDWARDS COUNTY,"1,307","1,277",30,2.30%,No
county,March,ELK COUNTY,"1,189","1,157",32,2.70%,No
county,March,ELLIS COUNTY,"17,395","17,080",315,1.80%,No
county,March,ELLSWORTH COUNTY,"2,736","2,671",65,2.40%,No
county,March,FINNEY COUNTY,"21,106","20,710",396,1.90%,No
county,March,FORD COUNTY,"17,416","17,050",366,2.10%,No
county,March,FRANKLIN COUNTY,"14,497","14,068",429,3.00%,No
county,March,GEARY COUNTY,"11,649","11,151",498,4.30%,No
county,March,GOVE COUNTY,"1,515","1,485",30,2.00%,No
county,March,GRAHAM COUNTY,"1,117","1,090",27,2.40%,No
county,March,GRANT COUNTY,"3,138","3,063",75,2.40%,No
county,March,GRAY COUNTY,"3,281","3,217",64,2.00%,No
county,March,GREELEY COUNTY,822,809,13,1.60%,No
county,March,GREENWOOD COUNTY,"3,304","3,197",107,3.20%,No
county,March,HAMILTON COUNTY,"1,608","1,581",27,1.70%,No
county,March,HARPER COUNTY,"3,006","2,933",73,2.40%,No
county,March,HARVEY COUNTY,"17,158","16,694",464,2.70%,No
county,March,HASKELL COUNTY,"2,235","2,195",40,1.80%,No
county,March,HODGEMAN COUNTY,"1,012",987,25,2.50%,No
county,March,JACKSON COUNTY,"7,207","6,994",213,3.00%,No
county,March,JEFFERSON COUNTY,"10,127","9,831",296,2.90%,No
county,March,JEWELL COUNTY,"1,272","1,242",30,2.40%,No
county,March,JOHNSON COUNTY,"338,736","330,309","8,427",2.50%,No
county,March,KEARNY COUNTY,"2,056","2,023",33,1.60%,No
county,March,KINGMAN COUNTY,"3,434","3,342",92,2.70%,No
