Number of Records,Region,Adjustment,area,Area,Area Type,areatype,Employed,Labor Force,Period,periodtype,Year,Period Type,Preliminary or Final,stfips,Unemployed,Unemployment Rate
1,MI,Not Adj,15,"Barry County, MI",County,4,30752,31527,November,3,2019,Monthly,Final,26,775,2.50%
1,MI,Not Adj,15,"Barry County, MI",County,4,30479,31391,December,3,2019,Monthly,Final,26,912,2.90%
1,MI,Not Adj,17,"Bay County, MI",County,4,47190,50320,January,3,2019,Monthly,Final,26,3130,6.20%
1,MI,Not Adj,17,"Bay County, MI",County,4,47463,50311,February,3,2019,Monthly,Final,26,2848,5.70%
1,MI,Not Adj,17,"Bay County, MI",County,4,47524,50299,March,3,2019,Monthly,Final,26,2775,5.50%
1,MI,Not Adj,17,"Bay County, MI",County,4,47580,49743,April,3,2019,Monthly,Final,26,2163,4.30%
1,MI,Not Adj,17,"Bay County, MI",County,4,47976,50110,May,3,2019,Monthly,Final,26,2134,4.30%
1,MI,Not Adj,17,"Bay County, MI",County,4,48263,50736,June,3,2019,Monthly,Final,26,2473,4.90%
1,MI,Not Adj,17,"Bay County, MI",County,4,46979,49693,January,3,2020,Monthly,Final,26,2714,5.50%
1,MI,Not Adj,17,"Bay County, MI",County,4,47648,49951,February,3,2020,Monthly,Final,26,2303,4.60%
1,MI,Not Adj,17,"Bay County, MI",County,4,46287,48492,March,3,2020,Monthly,Final,26,2205,4.50%
1,MI,Not Adj,17,"Bay County, MI",County,4,36751,49024,April,3,2020,Monthly,Final,26,12273,25.00%
1,MI,Not Adj,17,"Bay County, MI",County,4,40129,50159,May,3,2020,Monthly,Preliminary,26,10030,20.00%
1,MI,Not Adj,17,"Bay County, MI",County,4,47755,50485,July,3,2019,Monthly,Final,26,2730,5.40%
1,MI,Not Adj,17,"Bay County, MI",County,4,47892,50094,August,3,2019,Monthly,Final,26,2202,4.40%
1,MI,Not Adj,17,"Bay County, MI",County,4,47725,49502,September,3,2019,Monthly,Final,26,1777,3.60%
1,MI,Not Adj,17,"Bay County, MI",County,4,47645,49540,October,3,2019,Monthly,Final,26,1895,3.80%
1,MI,Not Adj,17,"Bay County, MI",County,4,48058,49855,November,3,2019,Monthly,Final,26,1797,3.60%
1,MI,Not Adj,17,"Bay County, MI",County,4,47373,49453,December,3,2019,Monthly,Final,26,2080,4.20%
1,MI,Not Adj,19,"Benzie County, MI",County,4,7981,8676,January,3,2019,Monthly,Final,26,695,8.00%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8025,8676,February,3,2019,Monthly,Final,26,651,7.50%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8003,8635,March,3,2019,Monthly,Final,26,632,7.30%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8101,8559,April,3,2019,Monthly,Final,26,458,5.40%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8478,8865,May,3,2019,Monthly,Final,26,387,4.40%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8878,9307,June,3,2019,Monthly,Final,26,429,4.60%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8173,8776,January,3,2020,Monthly,Final,26,603,6.90%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8297,8813,February,3,2020,Monthly,Final,26,516,5.90%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8095,8577,March,3,2020,Monthly,Final,26,482,5.60%
1,MI,Not Adj,19,"Benzie County, MI",County,4,6530,8863,April,3,2020,Monthly,Final,26,2333,26.30%
1,MI,Not Adj,19,"Benzie County, MI",County,4,7490,9232,May,3,2020,Monthly,Preliminary,26,1742,18.90%
1,MI,Not Adj,19,"Benzie County, MI",County,4,9057,9505,July,3,2019,Monthly,Final,26,448,4.70%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8921,9268,August,3,2019,Monthly,Final,26,347,3.70%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8547,8851,September,3,2019,Monthly,Final,26,304,3.40%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8482,8763,October,3,2019,Monthly,Final,26,281,3.20%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8402,8724,November,3,2019,Monthly,Final,26,322,3.70%
1,MI,Not Adj,19,"Benzie County, MI",County,4,8304,8751,December,3,2019,Monthly,Final,26,447,5.10%
1,MI,Not Adj,21,"Berrien County, MI",County,4,68530,72322,January,3,2019,Monthly,Final,26,3792,5.20%
1,MI,Not Adj,21,"Berrien County, MI",County,4,69454,72944,February,3,2019,Monthly,Final,26,3490,4.80%
1,MI,Not Adj,21,"Berrien County, MI",County,4,70161,73588,March,3,2019,Monthly,Final,26,3427,4.70%
1,MI,Not Adj,21,"Berrien County, MI",County,4,70490,73127,April,3,2019,Monthly,Final,26,2637,3.60%
1,MI,Not Adj,21,"Berrien County, MI",County,4,71576,74374,May,3,2019,Monthly,Final,26,2798,3.80%
1,MI,Not Adj,21,"Berrien County, MI",County,4,72056,75435,June,3,2019,Monthly,Final,26,3379,4.50%
1,MI,Not Adj,21,"Berrien County, MI",County,4,69728,73025,January,3,2020,Monthly,Final,26,3297,4.50%
1,MI,Not Adj,21,"Berrien County, MI",County,4,71250,74034,February,3,2020,Monthly,Final,26,2784,3.80%
1,MI,Not Adj,21,"Berrien County, MI",County,4,70099,72699,March,3,2020,Monthly,Final,26,2600,3.60%
1,MI,Not Adj,21,"Berrien County, MI",County,4,55117,69228,April,3,2020,Monthly,Final,26,14111,20.40%
1,MI,Not Adj,21,"Berrien County, MI",County,4,60948,74875,May,3,2020,Monthly,Preliminary,26,13927,18.60%
1,MI,Not Adj,21,"Berrien County, MI",County,4,71284,75001,July,3,2019,Monthly,Final,26,3717,5.00%
1,MI,Not Adj,21,"Berrien County, MI",County,4,70932,73984,August,3,2019,Monthly,Final,26,3052,4.10%
1,MI,Not Adj,21,"Berrien County, MI",County,4,70455,72828,September,3,2019,Monthly,Final,26,2373,3.30%
1,MI,Not Adj,21,"Berrien County, MI",County,4,70460,72591,October,3,2019,Monthly,Final,26,2131,2.90%
1,MI,Not Adj,21,"Berrien County, MI",County,4,70581,72846,November,3,2019,Monthly,Final,26,2265,3.10%
1,MI,Not Adj,21,"Berrien County, MI",County,4,69820,72410,December,3,2019,Monthly,Final,26,2590,3.60%
1,MI,Not Adj,23,"Branch County, MI",County,4,18070,18943,January,3,2019,Monthly,Final,26,873,4.60%
1,MI,Not Adj,23,"Branch County, MI",County,4,18351,19165,February,3,2019,Monthly,Final,26,814,4.20%
1,MI,Not Adj,23,"Branch County, MI",County,4,18414,19227,March,3,2019,Monthly,Final,26,813,4.20%
1,MI,Not Adj,23,"Branch County, MI",County,4,18604,19240,April,3,2019,Monthly,Final,26,636,3.30%
1,MI,Not Adj,23,"Branch County, MI",County,4,18791,19488,May,3,2019,Monthly,Final,26,697,3.60%
1,MI,Not Adj,23,"Branch County, MI",County,4,18887,19720,June,3,2019,Monthly,Final,26,833,4.20%
1,MI,Not Adj,23,"Branch County, MI",County,4,18337,19104,January,3,2020,Monthly,Final,26,767,4.00%
1,MI,Not Adj,23,"Branch County, MI",County,4,18770,19411,February,3,2020,Monthly,Final,26,641,3.30%
1,MI,Not Adj,23,"Branch County, MI",County,4,18387,18997,March,3,2020,Monthly,Final,26,610,3.20%
1,MI,Not Adj,23,"Branch County, MI",County,4,14447,18745,April,3,2020,Monthly,Final,26,4298,22.90%
1,MI,Not Adj,23,"Branch County, MI",County,4,15973,19758,May,3,2020,Monthly,Preliminary,26,3785,19.20%
1,MI,Not Adj,23,"Branch County, MI",County,4,18722,19726,July,3,2019,Monthly,Final,26,1004,5.10%
1,MI,Not Adj,23,"Branch County, MI",County,4,18869,19652,August,3,2019,Monthly,Final,26,783,4.00%
1,MI,Not Adj,23,"Branch County, MI",County,4,18684,19329,September,3,2019,Monthly,Final,26,645,3.30%
1,MI,Not Adj,23,"Branch County, MI",County,4,18516,19233,October,3,2019,Monthly,Final,26,717,3.70%
1,MI,Not Adj,23,"Branch County, MI",County,4,18774,19388,November,3,2019,Monthly,Final,26,614,3.20%
1,MI,Not Adj,23,"Branch County, MI",County,4,18516,19155,December,3,2019,Monthly,Final,26,639,3.30%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,59541,62538,January,3,2019,Monthly,Final,26,2997,4.80%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,60242,63092,February,3,2019,Monthly,Final,26,2850,4.50%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,60167,63089,March,3,2019,Monthly,Final,26,2922,4.60%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,59903,62268,April,3,2019,Monthly,Final,26,2365,3.80%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,60160,62580,May,3,2019,Monthly,Final,26,2420,3.90%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,60310,63134,June,3,2019,Monthly,Final,26,2824,4.50%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,59396,61929,January,3,2020,Monthly,Final,26,2533,4.10%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,60826,63089,February,3,2020,Monthly,Final,26,2263,3.60%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,59257,61451,March,3,2020,Monthly,Final,26,2194,3.60%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,45039,59888,April,3,2020,Monthly,Final,26,14849,24.80%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,51099,65505,May,3,2020,Monthly,Preliminary,26,14406,22.00%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,59368,62631,July,3,2019,Monthly,Final,26,3263,5.20%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,59562,62248,August,3,2019,Monthly,Final,26,2686,4.30%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,59207,61399,September,3,2019,Monthly,Final,26,2192,3.60%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,59925,61970,October,3,2019,Monthly,Final,26,2045,3.30%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,60732,62723,November,3,2019,Monthly,Final,26,1991,3.20%
1,MI,Not Adj,25,"Calhoun County, MI",County,4,60200,62350,December,3,2019,Monthly,Final,26,2150,3.40%
