weekEnding,county,claims
12/29/18,St. Louis City,330
12/29/18,Webster,36
12/29/18,Barton,11
12/29/18,Nodaway,13
12/29/18,McDonald,32
12/29/18,DeKalb,7
12/29/18,Pulaski,100
12/29/18,Clinton,17
12/29/18,St. Francois,71
12/29/18,Atchison,3
12/29/18,Mississippi,14
12/29/18,Dunklin,37
12/29/18,Platte,53
12/29/18,Johnson,42
12/29/18,Shelby,10
12/29/18,Shannon,5
12/29/18,Moniteau,11
12/29/18,Putnam,2
12/29/18,Clay,194
12/29/18,Scotland,7
12/29/18,Wayne,25
12/29/18,Taney,193
12/29/18,Stone,58
12/29/18,Stoddard,45
12/29/18,Christian,71
12/29/18,Lafayette,52
12/29/18,Worth,1
12/29/18,Howard,9
12/29/18,Knox,4
12/29/18,Gasconade,7
12/29/18,Buchanan,71
12/29/18,Ozark,7
12/29/18,Greene,120
12/29/18,Hickory,6
12/29/18,Howell,37
12/29/18,Bollinger,9
12/29/18,Texas,22
12/29/18,Sullivan,1
12/29/18,Wright,29
12/29/18,Cass,101
12/29/18,St. Louis,738
12/29/18,Dallas,17
12/29/18,Douglas,18
12/29/18,Montgomery,9
12/29/18,Perry,18
12/29/18,Oregon,7
12/29/18,Cooper,18
12/29/18,Jackson,536
12/29/18,Laclede,131
12/29/18,Crawford,38
12/29/18,Camden,36
12/29/18,Franklin,96
12/29/18,Warren,40
12/29/18,Macon,17
12/29/18,Cedar,13
12/29/18,Holt,7
12/29/18,Morgan,12
12/29/18,Ray,40
12/29/18,Osage,18
12/29/18,Polk,24
12/29/18,Pettis,41
12/29/18,Carroll,4
12/29/18,Bates,15
12/29/18,Phelps,32
12/29/18,Henry,30
12/29/18,Callaway,48
12/29/18,Randolph,21
12/29/18,St. Clair,8
12/29/18,Vernon,21
12/29/18,Newton,44
12/29/18,Livingston,10
12/29/18,Schuyler,7
12/29/18,Lawrence,43
12/29/18,Dent,10
12/29/18,Ripley,33
12/29/18,Jefferson,227
12/29/18,Ralls,7
12/29/18,Mercer,3
12/29/18,Gentry,4
12/29/18,Lincoln,80
12/29/18,Iron,12
12/29/18,Pemiscot,21
12/29/18,Jasper,42
12/29/18,Maries,7
12/29/18,Ste. Genevieve,26
12/29/18,Cole,49
12/29/18,Linn,10
12/29/18,Audrain,12
12/29/18,Grundy,5
12/29/18,Barry,21
12/29/18,Andrew,29
12/29/18,Marion,16
12/29/18,Chariton,9
12/29/18,New Madrid,27
12/29/18,St. Charles,293
12/29/18,Saline,20
12/29/18,Pike,19
12/29/18,Monroe,14
12/29/18,Dade,3
12/29/18,Scott,40
12/29/18,Madison,12
12/29/18,Reynolds,4
12/29/18,Benton,18
12/29/18,Lewis,6
12/29/18,Cape Girardeau,49
12/29/18,Clark,2
12/29/18,Caldwell,9
12/29/18,Daviess,4
12/29/18,Boone,124
12/29/18,Butler,105
12/29/18,Certified Mail,0
12/29/18,Washington,39
12/29/18,Adair,28
12/29/18,Carter,17
12/22/18,McDonald,28
12/22/18,Saline,23
12/22/18,Dunklin,56
12/22/18,Moniteau,12
12/22/18,Maries,11
12/22/18,Taney,268
12/22/18,Scotland,6
12/22/18,St. Louis City,519
12/22/18,Certified Mail,0
12/22/18,Bates,16
12/22/18,Oregon,5
12/22/18,Crawford,34
12/22/18,Callaway,37
12/22/18,Newton,78
12/22/18,Adair,44
12/22/18,Hickory,10
12/22/18,Lewis,4
12/22/18,Lafayette,25
12/22/18,Clark,4
12/22/18,Johnson,49
12/22/18,Vernon,13
12/22/18,Lincoln,69
12/22/18,Caldwell,2
12/22/18,Christian,96
12/22/18,Wright,30
12/22/18,Miller,46
12/22/18,Iron,10
12/22/18,Butler,103
12/22/18,Audrain,12
12/22/18,Monroe,8
12/22/18,Ste. Genevieve,14
12/22/18,Andrew,7
12/22/18,Cass,82
12/22/18,Dallas,28
12/22/18,Stone,71
12/22/18,Ralls,9
12/22/18,Henry,25
12/22/18,Montgomery,22
12/22/18,Ozark,4
12/22/18,St. Clair,8
12/22/18,Osage,10
12/22/18,Marion,22
12/22/18,Greene,156
12/22/18,Douglas,13
12/22/18,Webster,33
12/22/18,Cape Girardeau,62
