Area Type,Metric,Series title,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20
City,Employment,Gaithersburg,35349,35520,35604,35540,35616,35986,36487,36146,36178,36306,36284,35999,35876,35933,35937,31814,"32,286",
City,Employment,Hagerstown,17978,17762,17933,17993,18005,18136,18231,18036,18097,18401,18572,18577,18268,18057,18106,15395,"16,091",
City,Employment,Laurel,15002,15126,15227,15219,15238,15305,15540,15276,15429,15511,15523,15482,15387,15508,15588,13618,"13,812",
City,Employment,Rockville,36598,36775,36862,36796,36874,37257,37777,37423,37456,37589,37566,37271,37144,37202,37207,32938,"33,426",
City,Employment,Salisbury,13720,13847,14051,14306,14794,15479,15731,15481,14948,14542,14229,14226,14235,14367,14455,12007,"12,519",
City,Labor Force,Annapolis,22464,22457,22525,22428,22649,22899,23006,22827,22712,22805,22773,22736,22843,22821,22798,21080,"21,662",
City,Labor Force,Bowie,34696,34725,34930,34800,34877,35151,35711,35091,35366,35581,35509,35357,35335,35583,35808,33618,"34,210",
City,Labor Force,College Park,14953,15054,15042,14955,14976,15389,15604,15278,15306,15265,15215,15202,15189,15321,15251,14002,"14,221",
City,Labor Force,Frederick,38605,38550,38588,38445,38586,39047,39529,38900,38705,38987,38768,38617,38882,38877,38865,37450,"37,631",
City,Labor Force,Gaithersburg,36763,36783,36768,36486,36695,37223,37719,37231,37194,37396,37292,36939,36990,37098,37064,35364,"35,957",
City,Labor Force,Hagerstown,18994,18795,18931,18834,18861,19092,19146,18927,18888,19238,19367,19319,19196,18981,19021,18064,"18,544",
City,Labor Force,Laurel,15772,15808,15888,15780,15815,15942,16165,15940,15983,16098,16085,15999,16012,16150,16280,15741,"16,030",
City,Labor Force,Rockville,37876,37925,37979,37736,37943,38478,38962,38472,38430,38562,38503,38160,38143,38260,38235,35703,"36,377",
City,Labor Force,Salisbury,14731,14812,14922,15099,15522,16364,16591,16328,15673,15230,14946,14958,15080,15199,15244,14051,"14,399",
