Area,Time Period,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
Walsh County,"March, 2020","5,082","4,912",170,3.30%,No
Ward County,"March, 2020","31,329","30,414",915,2.90%,No
Wells County,"March, 2020","1,927","1,839",88,4.60%,No
Williams County,"March, 2020","23,212","22,705",507,2.20%,No
Richland County,"April, 2020","8,801","7,913",888,10.10%,No
Rolette County,"April, 2020","4,665","3,932",733,15.70%,No
Sargent County,"April, 2020","3,082","2,523",559,18.10%,No
Sheridan County,"April, 2020",671,615,56,8.30%,No
Sioux County,"April, 2020","1,148","1,108",40,3.50%,No
Slope County,"April, 2020",389,376,13,3.30%,No
Stark County,"April, 2020","18,705","16,846","1,859",9.90%,No
Steele County,"April, 2020",972,929,43,4.40%,No
Stutsman County,"April, 2020","10,115","9,514",601,5.90%,No
Towner County,"April, 2020","1,079","1,039",40,3.70%,No
Traill County,"April, 2020","4,290","4,017",273,6.40%,No
Walsh County,"April, 2020","5,038","4,679",359,7.10%,No
Ward County,"April, 2020","31,866","28,562","3,304",10.40%,No
Wells County,"April, 2020","1,887","1,758",129,6.80%,No
Williams County,"April, 2020","23,972","21,278","2,694",11.20%,No
Richland County,"May, 2020","8,396","7,851",545,6.50%,Yes
Rolette County,"May, 2020","4,732","3,923",809,17.10%,Yes
Sargent County,"May, 2020","2,672","2,504",168,6.30%,Yes
Sheridan County,"May, 2020",642,595,47,7.30%,Yes
Sioux County,"May, 2020","1,176","1,108",68,5.80%,Yes
Slope County,"May, 2020",376,360,16,4.30%,Yes
Stark County,"May, 2020","18,988","16,841","2,147",11.30%,Yes
Steele County,"May, 2020",958,909,49,5.10%,Yes
Stutsman County,"May, 2020","10,036","9,459",577,5.70%,Yes
Towner County,"May, 2020","1,046","1,004",42,4.00%,Yes
Traill County,"May, 2020","4,259","3,990",269,6.30%,Yes
Walsh County,"May, 2020","4,953","4,599",354,7.10%,Yes
Ward County,"May, 2020","31,825","28,559","3,266",10.30%,Yes
Wells County,"May, 2020","1,834","1,725",109,5.90%,Yes
Williams County,"May, 2020","25,092","21,301","3,791",15.10%,Yes
North Dakota,"January, 2020","399,574","388,274","11,300",2.80%,No
North Dakota,"February, 2020","400,739","389,594","11,145",2.80%,No
North Dakota,"March, 2020","402,720","391,913","10,807",2.70%,No
North Dakota,"April, 2020","405,037","367,726","37,311",9.20%,No
North Dakota,"May, 2020","403,634","368,779","34,855",8.60%,Yes
North Dakota,"June, 2020","408,023","382,454","25,569",6.30%,
Bismarck city,"June, 2020","38,316","36,330","1,986",5.20%,Yes
Fargo city,"June, 2020","72,658","68,418","4,240",5.80%,Yes
Grand Forks city,"June, 2020","31,307","29,376","1,931",6.20%,Yes
Minot city,"June, 2020","23,232","21,449","1,783",7.70%,Yes
West Fargo city,"June, 2020","22,008","20,907","1,101",5.00%,Yes
Williston city,"June, 2020","19,295","16,756","2,539",13.20%,Yes
Adams County,"June, 2020","1,027",987,40,3.90%,Yes
Barnes County,"June, 2020","5,008","4,772",236,4.70%,Yes
Benson County,"June, 2020","2,338","2,153",185,7.90%,Yes
Billings County,"June, 2020",360,341,19,5.30%,Yes
Bottineau County,"June, 2020","2,841","2,664",177,6.20%,Yes
Bowman County,"June, 2020","1,580","1,526",54,3.40%,Yes
Burke County,"June, 2020","1,038",975,63,6.10%,Yes
Burleigh County,"June, 2020","50,014","47,540","2,474",4.90%,Yes
Cass County,"June, 2020","105,612","99,836","5,776",5.50%,Yes
Cavalier County,"June, 2020","1,825","1,759",66,3.60%,Yes
Dickey County,"June, 2020","2,245","2,163",82,3.70%,Yes
Divide County,"June, 2020","1,367","1,311",56,4.10%,Yes
Dunn County,"June, 2020","3,366","3,181",185,5.50%,Yes
Eddy County,"June, 2020","1,187","1,127",60,5.10%,Yes
Emmons County,"June, 2020","1,379","1,315",64,4.60%,Yes
Foster County,"June, 2020","1,441","1,390",51,3.50%,Yes
Golden Valley County,"June, 2020",822,789,33,4.00%,Yes
Grand Forks County,"June, 2020","37,466","35,240","2,226",5.90%,Yes
Grant County,"June, 2020","1,172","1,140",32,2.70%,Yes
Griggs County,"June, 2020","1,004",971,33,3.30%,Yes
Hettinger County,"June, 2020","1,360","1,303",57,4.20%,Yes
Kidder County,"June, 2020","1,231","1,170",61,5.00%,Yes
LaMoure County,"June, 2020","1,993","1,937",56,2.80%,Yes
Logan County,"June, 2020",858,830,28,3.30%,Yes
McHenry County,"June, 2020","3,007","2,851",156,5.20%,Yes
McIntosh County,"June, 2020","1,062","1,035",27,2.50%,Yes
McKenzie County,"June, 2020","10,206","9,251",955,9.40%,Yes
McLean County,"June, 2020","4,575","4,350",225,4.90%,Yes
Mercer County,"June, 2020","3,436","3,214",222,6.50%,Yes
Morton County,"June, 2020","16,458","15,527",931,5.70%,Yes
Mountrail County,"June, 2020","7,430","6,964",466,6.30%,Yes
Nelson County,"June, 2020","1,328","1,269",59,4.40%,Yes
Oliver County,"June, 2020",860,820,40,4.70%,Yes
Pembina County,"June, 2020","3,242","3,047",195,6.00%,Yes
Pierce County,"June, 2020","1,625","1,547",78,4.80%,Yes
Ramsey County,"June, 2020","5,432","5,134",298,5.50%,Yes
Ransom County,"June, 2020","2,771","2,657",114,4.10%,Yes
Renville County,"June, 2020","1,205","1,130",75,6.20%,Yes
Richland County,"June, 2020","8,341","7,976",365,4.40%,Yes
Rolette County,"June, 2020","4,701","3,979",722,15.40%,Yes
Sargent County,"June, 2020","2,687","2,574",113,4.20%,Yes
Sheridan County,"June, 2020",644,614,30,4.70%,Yes
Sioux County,"June, 2020","1,233","1,177",56,4.50%,Yes
Slope County,"June, 2020",389,371,18,4.60%,Yes
Stark County,"June, 2020","19,066","17,249","1,817",9.50%,Yes
Steele County,"June, 2020",969,935,34,3.50%,Yes
Stutsman County,"June, 2020","10,081","9,679",402,4.00%,Yes
Towner County,"June, 2020","1,065","1,034",31,2.90%,Yes
Traill County,"June, 2020","4,310","4,114",196,4.50%,Yes
Walsh County,"June, 2020","5,021","4,729",292,5.80%,Yes
Ward County,"June, 2020","31,498","29,170","2,328",7.40%,Yes
Wells County,"June, 2020","1,853","1,774",79,4.30%,Yes
Williams County,"June, 2020","24,994","21,861","3,133",12.50%,Yes
