Period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
January,Nuckolls County,"2,464","2,378",86,3.50%,No
January,Otoe County,"8,473","8,209",264,3.10%,No
January,Pawnee County,"1,497","1,458",39,2.60%,No
January,Perkins County,"1,841","1,802",39,2.10%,No
January,Phelps County,"5,020","4,899",121,2.40%,No
January,Pierce County,"4,056","3,945",111,2.70%,No
January,Platte County,"17,630","17,116",514,2.90%,No
January,Polk County,"2,982","2,894",88,3.00%,No
January,Red Willow County,"5,835","5,677",158,2.70%,No
January,Richardson County,"4,208","4,061",147,3.50%,No
January,Rock County,898,875,23,2.60%,No
January,Saline County,"7,379","7,125",254,3.40%,No
January,Sarpy County,"96,611","93,772","2,839",2.90%,No
January,Saunders County,"11,272","10,944",328,2.90%,No
January,Scotts Bluff County,"17,919","17,270",649,3.60%,No
January,Seward County,"9,064","8,792",272,3.00%,No
January,Sheridan County,"2,705","2,633",72,2.70%,No
January,Sherman County,"1,701","1,646",55,3.20%,No
January,Sioux County,757,737,20,2.60%,No
January,Stanton County,"3,512","3,408",104,3.00%,No
January,Thayer County,"2,777","2,709",68,2.40%,No
January,Thomas County,439,419,20,4.60%,No
January,Thurston County,"3,088","2,965",123,4.00%,No
January,Valley County,"2,138","2,072",66,3.10%,No
January,Washington County,"11,339","10,993",346,3.10%,No
January,Wayne County,"5,810","5,663",147,2.50%,No
January,Webster County,"1,704","1,645",59,3.50%,No
January,Wheeler County,589,575,14,2.40%,No
January,York County,"7,201","7,019",182,2.50%,No
January,Nebraska,"1,036,702","1,003,579","33,123",3.20%,No
February,Nebraska,"1,041,996","1,010,576","31,420",3.00%,No
March,Nebraska,"1,059,311","1,014,731","44,580",4.20%,No
April,Nebraska,"1,058,900","967,661","91,239",8.60%,No
May,Nebraska,"1,056,413","1,002,852","53,561",5.10%,Yes
January,Bellevue City,"27,176","26,270",906,3.30%,No
January,Columbus City,"12,118","11,737",381,3.10%,No
January,Fremont City,"13,882","13,447",435,3.10%,No
January,Grand Island City,"26,711","25,328","1,383",5.20%,No
January,Hastings City,"13,153","12,665",488,3.70%,No
January,Kearney City,"19,292","18,810",482,2.50%,No
January,Lincoln City,"160,525","156,099","4,426",2.80%,No
January,Norfolk City,"13,438","13,025",413,3.10%,No
January,North Platte City,"12,131","11,664",467,3.80%,No
January,Omaha City,"244,283","235,855","8,428",3.50%,No
January,Papillion City,"10,749","10,408",341,3.20%,No
February,Bellevue City,"27,388","26,465",923,3.40%,No
February,Columbus City,"12,182","11,822",360,3.00%,No
February,Fremont City,"13,974","13,557",417,3.00%,No
February,Grand Island City,"26,489","25,505",984,3.70%,No
February,Hastings City,"13,223","12,794",429,3.20%,No
February,Kearney City,"19,370","18,871",499,2.60%,No
February,Lincoln City,"162,618","158,302","4,316",2.70%,No
February,Norfolk City,"13,595","13,187",408,3.00%,No
February,North Platte City,"12,201","11,746",455,3.70%,No
February,Omaha City,"245,661","237,520","8,141",3.30%,No
February,Papillion City,"10,803","10,485",318,2.90%,No
March,Bellevue City,"27,780","26,496","1,284",4.60%,No
March,Columbus City,"12,348","11,867",481,3.90%,No
March,Fremont City,"14,228","13,628",600,4.20%,No
March,Grand Island City,"26,698","25,412","1,286",4.80%,No
March,Hastings City,"13,330","12,746",584,4.40%,No
March,Kearney City,"19,401","18,714",687,3.50%,No
March,Lincoln City,"164,515","158,401","6,114",3.70%,No
March,Norfolk City,"13,808","13,240",568,4.10%,No
March,North Platte City,"12,475","11,871",604,4.80%,No
March,Omaha City,"249,662","237,793","11,869",4.80%,No
March,Papillion City,"10,953","10,498",455,4.20%,No
April,Bellevue City,"27,317","24,683","2,634",9.60%,No
April,Columbus City,"12,836","11,671","1,165",9.10%,No
April,Fremont City,"14,724","13,652","1,072",7.30%,No
April,Grand Island City,"27,600","24,213","3,387",12.30%,No
April,Hastings City,"13,917","12,671","1,246",9.00%,No
April,Kearney City,"20,893","18,751","2,142",10.30%,No
April,Lincoln City,"163,443","147,778","15,665",9.60%,No
April,Norfolk City,"14,173","13,176",997,7.00%,No
April,North Platte City,"12,884","11,765","1,119",8.70%,No
