county,date,claims,,,,,,,,,,
Orange,5/9/20,"3,079",,,,,,,,,,
Orleans,5/9/20,285,,,,,,,,,,
Oswego,5/9/20,"1,052",,,,,,,,,,
Otsego,5/9/20,347,,,,,,,,,,
Putnam,5/9/20,737,,,,,,,,,,
Queens,5/9/20,"31,725",,,,,,,,,,
Rensselaer,5/9/20,"1,165",,,,,,,,,,
Richmond,5/9/20,"4,343",,,,,,,,,,
Rockland,5/9/20,"2,784",,,,,,,,,,
St. Lawrence,5/9/20,572,,,,,,,,,,
Saratoga,5/9/20,"1,762",,,,,,,,,,
Schenectady,5/9/20,"1,422",,,,,,,,,,
Schoharie,5/9/20,231,,,,,,,,,,
Schuyler,5/9/20,541,,,,,,,,,,
Steuben,5/9/20,541,,,,,,,,,,
Seneca,5/9/20,216,,,,,,,,,,
Suffolk,5/9/20,"14,312",,,,,,,,,,
Sullivan,5/9/20,639,,,,,,,,,,
Tioga,5/9/20,282,,,,,,,,,,
Tompkins,5/9/20,648,,,,,,,,,,
Ulster,5/9/20,"1,440",,,,,,,,,,
Warren,5/9/20,540,,,,,,,,,,
Washington,5/9/20,385,,,,,,,,,,
Wayne,5/9/20,629,,,,,,,,,,
Westchester,5/9/20,"7,564",,,,,,,,,,
Wyoming,5/9/20,228,,,,,,,,,,
Out of State,5/9/20,"10,877",,,,,,,,,,
Albany,5/30/20,814,,,,,,,,,,
Allegany,5/30/20,139,,,,,,,,,,
