"state_fips","whole_fips","labor_force","employed","unemployed","unemployment_rate"
"13","13067",398651,353055,45596,11.4
"13","13069",18800,16947,1853,9.9
"13","13071",20765,19225,1540,7.4
"13","13073",69464,63369,6095,8.8
"13","13075",7955,7317,638,8
"13","13077",71382,62040,9342,13.1
"13","13079",5246,4745,501,9.6
"13","13081",9447,8520,927,9.8
"13","13083",7592,7006,586,7.7
"13","13085",11650,10248,1402,12
"13","13087",11138,10348,790,7.1
"13","13089",380317,330105,50212,13.2
"13","13091",6480,5939,541,8.3
"13","13093",5231,4444,787,15
"13","13095",36159,31538,4621,12.8
"13","13097",69181,60455,8726,12.6
"13","13099",4225,3992,233,5.5
"13","13101",1774,1663,111,6.3
"13","13103",27978,24651,3327,11.9
"13","13105",7878,6877,1001,12.7
"13","13107",7961,7223,738,9.3
"13","13109",4728,4363,365,7.7
"13","13111",12355,11198,1157,9.4
"13","13113",53580,48177,5403,10.1
"13","13115",44399,38427,5972,13.5
"13","13117",113551,101691,11860,10.4
"13","13119",10117,8954,1163,11.5
"13","13121",533726,460297,73429,13.8
"13","13123",11263,10032,1231,10.9
"13","13125",1188,1107,81,6.8
"13","13127",34666,28775,5891,17
"13","13129",29023,25332,3691,12.7
"13","13131",10222,9350,872,8.5
"13","13133",7130,6400,730,10.2
"13","13135",463600,406251,57349,12.4
"13","13137",18777,16745,2032,10.8
"13","13139",96929,86663,10266,10.6
"13","13141",2488,2201,287,11.5
"13","13143",11857,10385,1472,12.4
"13","13145",15277,13738,1539,10.1
"13","13147",10975,9846,1129,10.3
"13","13149",5128,4355,773,15.1
"13","13151",110250,95503,14747,13.4
"13","13153",65322,58646,6676,10.2
"13","13155",3344,3050,294,8.8
"13","13157",35877,31860,4017,11.2
"13","13159",6381,5776,605,9.5
"13","13161",5839,5333,506,8.7
"13","13163",6453,5837,616,9.5
"13","13165",2978,2725,253,8.5
"13","13167",3884,3586,298,7.7
"13","13169",12630,11610,1020,8.1
"13","13171",7560,6766,794,10.5
"13","13173",3497,3140,357,10.2
"13","13175",18976,16798,2178,11.5
"13","13177",13620,12329,1291,9.5
"13","13179",24694,22176,2518,10.2
"13","13181",3297,3002,295,8.9
"13","13183",7515,6950,565,7.5
"13","13185",48009,43035,4974,10.4
"13","13187",16217,14442,1775,10.9
"13","13189",8500,7322,1178,13.9
