county,claims,date
Wichita,3,5/9/20
Kearny,6,5/9/20
Grant,13,5/9/20
Stevens,6,5/9/20
Decatur,5,5/9/20
Sheridan,2,5/9/20
Gove,11,5/9/20
Scott,8,5/9/20
Lane,1,5/9/20
Finney,92,5/9/20
Haskell,7,5/9/20
Gray,2,5/9/20
Seward,42,5/9/20
Meade,4,5/9/20
Norton,9,5/9/20
Graham,4,5/9/20
Trego,5,5/9/20
Ness,4,5/9/20
Nodgeman,4,5/9/20
Ford,76,5/9/20
Clark,0,5/9/20
Phillips,6,5/9/20
Rooks,7,5/9/20
Ellis,74,5/9/20
Rush,10,5/9/20
Pawnee,11,5/9/20
Edwards,9,5/9/20
Kiowa,2,5/9/20
Comanche,5,5/9/20
Smith,11,5/9/20
Osborne,3,5/9/20
Russell,18,5/9/20
Barton,55,5/9/20
Stafford,9,5/9/20
Pratt,44,5/9/20
Barber,10,5/9/20
Jewell,4,5/9/20
Mitchell,10,5/9/20
Lincoln,8,5/9/20
Ellsworth,15,5/9/20
Rice,22,5/9/20
Reno,234,5/9/20
Kingman,32,5/9/20
Harper,12,5/9/20
Republic,8,5/9/20
Cloud,23,5/9/20
Ottawa,62,5/9/20
Saline,607,5/9/20
McPherson,99,5/9/20
Harvey,106,5/9/20
Sedgewick,3400,5/9/20
Sumner,111,5/9/20
Washington,7,5/9/20
Clay,26,5/9/20
Dickinson,73,5/9/20
Marion,23,5/9/20
Butler,283,5/9/20
Cowley,97,5/9/20
Marshall,23,5/9/20
Riley,202,5/9/20
Geary,147,5/9/20
Morris,15,5/9/20
Chase,5,5/9/20
Nemaha,6,5/9/20
Pottawatomie,61,5/9/20
Wabaunsee,18,5/9/20
Lyon,138,5/9/20
Greenwood,14,5/9/20
Elk,5,5/9/20
Chautauqua,7,5/9/20
Brown,24,5/9/20
Jackson,46,5/9/20
Shawnee,640,5/9/20
Osage,37,5/9/20
Coffey,19,5/9/20
Woodson,10,5/9/20
Wilson,30,5/9/20
Montgomery,152,5/9/20
Doniphan,14,5/9/20
Atchison,36,5/9/20
Jefferson,53,5/9/20
Douglas,705,5/9/20
Franklin,79,5/9/20
Anderson,21,5/9/20
Allen,38,5/9/20
Neosho,42,5/9/20
Labette,123,5/9/20
Leavenworth,244,5/9/20
Wyandotte,695,5/9/20
Johnson,1949,5/9/20
Miami,81,5/9/20
Linn,29,5/9/20
Bourbon,54,5/9/20
Crawford,154,5/9/20
Cherokee,41,5/9/20
Cheyenne,4,16-May
Sherman,8,16-May
Wallance,1,16-May
Greeley,1,16-May
Hamilton,2,16-May
Stanton,4,16-May
Morton,3,16-May
Rawlins,2,16-May
Thomas,13,16-May
Logan,4,16-May
Wichita,2,16-May
Kearny,5,16-May
Grant,8,16-May
Stevens,10,16-May
Decatur,3,16-May
Sheridan,4,16-May
Gove,2,16-May
Scott,15,16-May
Lane,1,16-May
Finney,84,16-May
Haskell,5,16-May
Gray,7,16-May
Seward,48,16-May
Meade,5,16-May
Norton,4,16-May
Graham,3,16-May
Trego,3,16-May
Ness,4,16-May
Nodgeman,1,16-May
Ford,65,16-May
Clark,5,16-May
Phillips,4,16-May
Rooks,12,16-May
Ellis,76,16-May
Rush,7,16-May
Pawnee,10,16-May
Edwards,6,16-May
Kiowa,6,16-May
Comanche,2,16-May
Smith,3,16-May
Osborne,5,16-May
Russell,16,16-May
Barton,89,16-May
Stafford,9,16-May
Pratt,20,16-May
Barber,6,16-May
Jewell,1,16-May
Mitchell,9,16-May
Lincoln,4,16-May
Ellsworth,13,16-May
Rice,32,16-May
Reno,225,16-May
Kingman,29,16-May
Harper,10,16-May
Republic,1,16-May
Cloud,15,16-May
Ottawa,25,16-May
Saline,270,16-May
McPherson,91,16-May
Harvey,133,16-May
Sedgewick,3097,16-May
Sumner,102,16-May
Washington,8,16-May
Clay,14,16-May
Dickinson,49,16-May
Marion,22,16-May
Butler,249,16-May
Cowley,142,16-May
Marshall,22,16-May
Riley,224,16-May
Geary,104,16-May
Morris,6,16-May
Chase,11,16-May
Nemaha,20,16-May
Pottawatomie,52,16-May
Wabaunsee,16,16-May
Lyon,96,16-May
Greenwood,18,16-May
Elk,10,16-May
Chautauqua,7,16-May
Brown,12,16-May
Jackson,48,16-May
Shawnee,555,16-May
Osage,39,16-May
Coffey,20,16-May
Woodson,6,16-May
Wilson,24,16-May
Montgomery,215,16-May
Doniphan,13,16-May
Atchison,55,16-May
Jefferson,53,16-May
Douglas,521,16-May
Franklin,84,16-May
Anderson,19,16-May
Allen,31,16-May
Neosho,47,16-May
Labette,75,16-May
Leavenworth,197,16-May
Wyandotte,657,16-May
Johnson,1770,16-May
Miami,84,16-May
Linn,32,16-May
Bourbon,39,16-May
Crawford,152,16-May
Cherokee,27,16-May
Cheyenne,2,23-May
Sherman,13,23-May
Wallance,1,23-May
Greeley,1,23-May
Hamilton,1,23-May
Stanton,3,23-May
Morton,3,23-May
Rawlins,3,23-May
Thomas,14,23-May
Logan,7,23-May
Wichita,0,23-May
Kearny,4,23-May
Grant,12,23-May
Stevens,5,23-May
Decatur,5,23-May
Sheridan,2,23-May
