county,claims,date
Finney,206,5/2/20
Haskell,6,5/2/20
Gray,6,5/2/20
Seward,54,5/2/20
Meade,5,5/2/20
Norton,6,5/2/20
Graham,18,5/2/20
Trego,8,5/2/20
Ness,12,5/2/20
Hodgeman,3,5/2/20
Ford,117,5/2/20
Clark,1,5/2/20
Phillips,18,5/2/20
Rooks,23,5/2/20
Ellis,116,5/2/20
Rush,12,5/2/20
Pawnee,12,5/2/20
Edwards,7,5/2/20
Kiowa,9,5/2/20
Comanche,1,5/2/20
Smith,8,5/2/20
Osborne,4,5/2/20
Russell,38,5/2/20
Barton,96,5/2/20
Stafford,12,5/2/20
Pratt,33,5/2/20
Barber,10,5/2/20
Jewell,7,5/2/20
Mitchell,14,5/2/20
Lincoln,8,5/2/20
Ellsworth,13,5/2/20
Rice,27,5/2/20
Reno,317,5/2/20
Kingman,41,5/2/20
Harper,14,5/2/20
Republic,6,5/2/20
Cloud,19,5/2/20
Ottawa,17,5/2/20
Saline,301,5/2/20
McPherson,97,5/2/20
Harvey,147,5/2/20
Sedgwick,4316,5/2/20
Sumner,150,5/2/20
Washington,6,5/2/20
Clay,27,5/2/20
Dickinson,107,5/2/20
Marion,26,5/2/20
Butler,402,5/2/20
Cowley,131,5/2/20
Marshall,21,5/2/20
Riley,277,5/2/20
Geary,323,5/2/20
Morris,10,5/2/20
Chase,10,5/2/20
Nemaha,20,5/2/20
Pottawatomie,61,5/2/20
Wabaunsee,23,5/2/20
Lyon,299,5/2/20
Greenwood,21,5/2/20
Elk,9,5/2/20
Chautauqua,8,5/2/20
Brown,32,5/2/20
Jackson,62,5/2/20
Shawnee,916,5/2/20
Osage,46,5/2/20
Coffey,22,5/2/20
Woodson,9,5/2/20
Wilson,42,5/2/20
Montgomery,195,5/2/20
Doniphan,17,5/2/20
Atchison,49,5/2/20
Jefferson,67,5/2/20
Douglas,621,5/2/20
Franklin,95,5/2/20
Anderson,13,5/2/20
Allen,48,5/2/20
Neosho,54,5/2/20
Labette,101,5/2/20
