SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 02",1585271,NV,Nevada,2020,February,Not Adj,Nevada,"1,513,453","1,572,996","59,543",4.00%
"2020, 01",1585197,NV,Nevada,2020,January,Not Adj,Nevada,"1,501,021","1,560,901","59,880",4.00%
"2020, 01",1585199,NV,"Churchill County, Nevada",2020,January,Not Adj,Nevada,"10,962","11,385",423,3.70%
"2020, 01",1585200,NV,"Clark County, Nevada",2020,January,Not Adj,Nevada,"1,101,158","1,145,940","44,782",3.90%
"2020, 01",1585201,NV,"Douglas County, Nevada",2020,January,Not Adj,Nevada,"22,409","23,345",936,4.00%
"2020, 01",1585202,NV,"Elko County, Nevada",2020,January,Not Adj,Nevada,"26,160","27,050",890,3.30%
"2020, 01",1585203,NV,"Esmeralda County, Nevada",2020,January,Not Adj,Nevada,455,473,18,3.80%
"2020, 01",1585204,NV,"Eureka County, Nevada",2020,January,Not Adj,Nevada,"1,128","1,153",25,2.20%
"2020, 01",1585205,NV,"Humboldt County, Nevada",2020,January,Not Adj,Nevada,"8,130","8,397",267,3.20%
"2020, 01",1585206,NV,"Lander County, Nevada",2020,January,Not Adj,Nevada,"3,144","3,271",127,3.90%
"2020, 01",1585207,NV,"Lincoln County, Nevada",2020,January,Not Adj,Nevada,"2,105","2,187",82,3.70%
"2020, 01",1585208,NV,"Lyon County, Nevada",2020,January,Not Adj,Nevada,"22,320","23,491","1,171",5.00%
"2020, 01",1585209,NV,"Mineral County, Nevada",2020,January,Not Adj,Nevada,"1,927","2,010",83,4.10%
"2020, 01",1585210,NV,"Nye County, Nevada",2020,January,Not Adj,Nevada,"16,953","17,843",890,5.00%
"2020, 01",1585211,NV,"Pershing County, Nevada",2020,January,Not Adj,Nevada,"2,525","2,630",105,4.00%
"2020, 01",1585212,NV,"Storey County, Nevada",2020,January,Not Adj,Nevada,"1,974","2,053",79,3.80%
"2020, 01",1585213,NV,"Washoe County, Nevada",2020,January,Not Adj,Nevada,"249,635","258,405","8,770",3.40%
"2020, 01",1585214,NV,"White Pine County, Nevada",2020,January,Not Adj,Nevada,"4,547","4,687",140,3.00%
"2020, 01",1585215,NV,"Carson City, Nevada",2020,January,Not Adj,Nevada,"25,490","26,581","1,091",4.10%
"2020, 01",1585222,NV,Fernley City,2020,January,Not Adj,Nevada,"8,291","8,721",430,4.90%
"2020, 01",1585223,NV,Boulder City,2020,January,Not Adj,Nevada,"7,372","7,674",302,3.90%
"2020, 01",1585224,NV,Elko,2020,January,Not Adj,Nevada,"10,213","10,567",354,3.40%
"2020, 01",1585225,NV,Henderson,2020,January,Not Adj,Nevada,"159,414","165,300","5,886",3.60%
"2020, 01",1585226,NV,Las Vegas,2020,January,Not Adj,Nevada,"306,268","319,070","12,802",4.00%
"2020, 01",1585227,NV,Mesquite,2020,January,Not Adj,Nevada,"7,778","8,052",274,3.40%
"2020, 01",1585228,NV,North Las Vegas,2020,January,Not Adj,Nevada,"111,577","116,721","5,144",4.40%
"2020, 01",1585229,NV,Reno,2020,January,Not Adj,Nevada,"134,639","139,316","4,677",3.40%
"2020, 01",1585230,NV,Sparks,2020,January,Not Adj,Nevada,"56,027","57,908","1,881",3.20%
"2019, 12",814059,NV,Sparks,2019,December,Not Adj,Nevada,"56,666","58,219","1,553",2.70%
"2019, 12",814061,NV,North Las Vegas,2019,December,Not Adj,Nevada,"111,116","115,547","4,431",3.80%
"2019, 12",814062,NV,Reno,2019,December,Not Adj,Nevada,"136,175","139,960","3,785",2.70%
"2019, 12",814063,NV,Mesquite,2019,December,Not Adj,Nevada,"7,746","7,976",230,2.90%
"2019, 12",814064,NV,Las Vegas,2019,December,Not Adj,Nevada,"305,003","316,225","11,222",3.50%
"2019, 12",814065,NV,Henderson,2019,December,Not Adj,Nevada,"158,755","163,976","5,221",3.20%
"2019, 12",814066,NV,Elko,2019,December,Not Adj,Nevada,"10,131","10,404",273,2.60%
"2019, 12",814067,NV,Fernley City,2019,December,Not Adj,Nevada,"8,257","8,632",375,4.30%
"2019, 12",814068,NV,Boulder City,2019,December,Not Adj,Nevada,"7,342","7,612",270,3.50%
"2019, 12",814075,NV,"White Pine County, Nevada",2019,December,Not Adj,Nevada,"4,521","4,635",114,2.50%
"2019, 12",814076,NV,"Carson City, Nevada",2019,December,Not Adj,Nevada,"25,433","26,336",903,3.40%
"2019, 12",814077,NV,"Storey County, Nevada",2019,December,Not Adj,Nevada,"2,002","2,074",72,3.50%
"2019, 12",814078,NV,"Washoe County, Nevada",2019,December,Not Adj,Nevada,"252,484","259,618","7,134",2.70%
"2019, 12",814079,NV,"Pershing County, Nevada",2019,December,Not Adj,Nevada,"2,428","2,523",95,3.80%
"2019, 12",814080,NV,"Nye County, Nevada",2019,December,Not Adj,Nevada,"16,718","17,509",791,4.50%
"2019, 12",814081,NV,"Mineral County, Nevada",2019,December,Not Adj,Nevada,"1,927","1,994",67,3.40%
